time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2022-08-27,territory,yk,0.0,0.0
2021-09-11,nation,ca,6.61,0.01
2022-07-09,region,prairies,1.54,1.05
2022-03-05,region,prairies,5.81,0.38
2022-03-05,region,atlantic,1.83,0.0
2022-03-05,province,qc,0.95,0.0
2022-03-05,province,on,1.03,0.11
2022-07-09,region,territories,15.15,0.61
2021-10-02,province,qc,53.53,0.0
2022-03-05,province,bc,1.92,0.05
2022-03-05,nation,ca,2.5,0.12
2022-02-26,region,territories,0.88,0.0
2022-02-26,region,prairies,5.04,0.04
2022-02-26,region,atlantic,1.57,0.0
2021-10-02,region,atlantic,0.1,0.0
2022-07-16,province,on,2.06,0.52
2022-02-26,province,qc,0.34,0.45
2022-07-16,nation,ca,1.4,0.79
2022-02-26,province,on,1.21,0.17
2022-02-26,province,bc,1.67,0.02
2022-02-26,nation,ca,2.12,0.08
2022-02-19,region,territories,0.89,0.0
2021-10-02,region,prairies,0.44,0.03
2022-07-16,province,bc,0.98,1.12
2022-02-19,region,prairies,5.39,0.04
2022-02-19,region,atlantic,1.6,0.0
2022-02-19,province,qc,0.74,0.0
2022-02-19,province,on,0.98,0.05
2022-03-05,region,territories,0.92,0.0
2022-03-12,nation,ca,3.1,0.16
2021-10-02,province,on,7.42,0.0
2022-03-12,province,bc,1.94,0.11
2022-03-26,region,atlantic,1.27,0.08
2022-07-09,province,bc,0.95,1.49
2022-03-26,province,qc,0.36,0.93
2021-09-25,region,territories,0.0,0.0
2022-03-26,province,on,0.96,0.28
2022-03-26,province,bc,1.76,0.66
2022-03-26,nation,ca,3.79,0.86
2022-03-19,region,territories,4.39,0.0
2022-03-19,region,prairies,9.12,0.54
2022-03-19,region,atlantic,2.8,0.0
2021-10-02,nation,ca,8.48,0.01
2022-03-19,province,qc,0.85,0.44
2021-09-11,province,bc,0.54,0.0
2022-07-09,province,on,1.27,0.6
2022-03-19,province,on,1.27,0.24
2022-03-19,province,bc,2.07,0.14
2022-03-19,nation,ca,3.71,0.27
2022-03-12,region,territories,1.53,0.0
2021-10-02,province,bc,1.49,0.0
2022-07-09,province,qc,0.68,0.8
2022-03-12,region,prairies,8.09,0.35
2022-03-12,region,atlantic,1.86,0.0
2022-03-12,province,qc,0.42,0.29
2022-03-12,province,on,1.08,0.06
2022-07-09,region,atlantic,3.36,3.59
