epiweek,time_value,issue,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
201734,2017-08-26,2017-08-31,lab,nl,27.0,0.0,0.0,27.0,0.0,27.0,27.0,0.0,27.0,0.0,27.0,4.0,,,1.0,0.0,,0.0,0.0,3.7037037037037033,0.0,0.0,14.814814814814813,0.0,0.0
201734,2017-08-26,2017-08-31,lab,pe,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,ns,5.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,nb,31.0,0.0,0.0,31.0,0.0,23.0,23.0,1.0,23.0,1.0,23.0,0.0,23.0,0.0,1.0,0.0,0.0,4.3478260869565215,0.0,4.3478260869565215,0.0,4.3478260869565215,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,region,atlantic,64.0,0.0,0.0,64.0,0.0,53.0,53.0,1.0,53.0,1.0,53.0,4.0,26.0,0.0,2.0,0.0,0.0,1.8867924528301887,0.0,3.7735849056603774,0.0,1.8867924528301887,7.547169811320755,0.0,0.0
201734,2017-08-26,2017-08-31,lab,région nord-est,16.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,québec-chaudière-appalaches,35.0,0.0,0.0,48.0,0.0,46.0,49.0,0.0,45.0,0.0,,,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,centre-du-québec,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,montréal-laval,333.0,1.0,0.0,339.0,0.0,302.0,310.0,7.0,297.0,1.0,,,263.0,2.0,20.0,1.0,0.7604562737642585,0.33670033670033667,0.0,6.622516556291391,0.3003003003003003,2.258064516129032,,0.3003003003003003,0.0
201734,2017-08-26,2017-08-31,lab,ouest du québec,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,montérégie,10.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0
201734,2017-08-26,2017-08-31,region,qc,405.0,1.0,0.0,418.0,2.0,348.0,359.0,7.0,342.0,1.0,,,307.0,2.0,20.0,1.0,0.6514657980456027,0.29239766081871343,0.4784688995215311,5.747126436781609,0.24691358024691357,1.9498607242339834,,0.24691358024691357,0.0
201734,2017-08-26,2017-08-31,lab,ottawa phl,14.0,0.0,0.0,14.0,0.0,14.0,14.0,0.0,14.0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,cheo/hee0 - ottawa,54.0,1.0,0.0,54.0,2.0,0.0,19.0,1.0,19.0,0.0,19.0,7.0,19.0,0.0,0.0,1.0,0.0,0.0,3.7037037037037033,0.0,1.8518518518518516,5.263157894736842,36.84210526315789,1.8518518518518516,0.0
201734,2017-08-26,2017-08-31,lab,kingston phl,11.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,11.0,0.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0
201734,2017-08-26,2017-08-31,lab,uhn / mount sinai hospital,121.0,2.0,0.0,121.0,0.0,16.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.25,0.0,0.0,1.6528925619834711,0.0,0.0,1.6528925619834711,0.0
201734,2017-08-26,2017-08-31,lab,phol - toronto,162.0,1.0,0.0,160.0,1.0,160.0,160.0,2.0,155.0,0.0,57.0,5.0,51.0,0.0,6.0,1.0,0.0,0.0,0.625,3.75,0.6172839506172839,1.25,8.771929824561402,0.6172839506172839,0.0
201734,2017-08-26,2017-08-31,lab,sick kids'hospital - toronto,36.0,0.0,0.0,36.0,1.0,36.0,36.0,1.0,36.0,0.0,36.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,2.7777777777777777,25.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,sunnybrook & women's college hsc,27.0,0.0,0.0,27.0,0.0,27.0,27.0,0.0,27.0,1.0,27.0,7.0,27.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,25.925925925925924,0.0,0.0
201734,2017-08-26,2017-08-31,lab,sault ste marie phl,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,timmins phl,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,st joseph's - london,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,london phl,25.0,0.0,0.0,25.0,1.0,25.0,25.0,0.0,22.0,0.0,21.0,3.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,14.285714285714285,0.0,0.0
201734,2017-08-26,2017-08-31,lab,orillia phl,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,5.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0
201734,2017-08-26,2017-08-31,lab,thunder bay phl,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,sudbury phl,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,hamilton phl,23.0,0.0,0.0,23.0,0.0,23.0,23.0,0.0,17.0,0.0,16.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0
201734,2017-08-26,2017-08-31,lab,peterborough phl,18.0,0.0,0.0,18.0,0.0,18.0,18.0,0.0,16.0,0.0,15.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0
201734,2017-08-26,2017-08-31,region,on,513.0,4.0,0.0,511.0,5.0,352.0,355.0,4.0,353.0,2.0,223.0,42.0,204.0,0.0,8.0,4.0,0.0,0.56657223796034,0.9784735812133072,2.272727272727273,0.7797270955165692,1.1267605633802817,18.83408071748879,0.7797270955165692,0.0
201734,2017-08-26,2017-08-31,lab,mb,99.0,0.0,0.0,99.0,0.0,76.0,76.0,1.0,48.0,4.0,76.0,5.0,48.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,1.3157894736842104,6.578947368421052,0.0,0.0
201734,2017-08-26,2017-08-31,lab,regina,107.0,0.0,0.0,107.0,0.0,107.0,107.0,1.0,107.0,1.0,107.0,36.0,107.0,0.0,7.0,0.0,0.0,0.9345794392523363,0.0,6.5420560747663545,0.0,0.9345794392523363,33.64485981308411,0.0,0.0
201734,2017-08-26,2017-08-31,lab,saskatoon,47.0,1.0,0.0,47.0,0.0,47.0,47.0,0.0,47.0,0.0,47.0,2.0,47.0,0.0,1.0,1.0,0.0,0.0,0.0,2.127659574468085,2.127659574468085,0.0,4.25531914893617,2.127659574468085,0.0
201734,2017-08-26,2017-08-31,lab,sk,154.0,1.0,0.0,154.0,0.0,154.0,154.0,1.0,154.0,1.0,154.0,38.0,154.0,0.0,8.0,1.0,0.0,0.6493506493506493,0.0,5.194805194805195,0.6493506493506493,0.6493506493506493,24.675324675324674,0.6493506493506493,0.0
201734,2017-08-26,2017-08-31,lab,ab,205.0,6.0,0.0,186.0,0.0,186.0,186.0,5.0,186.0,4.0,186.0,46.0,186.0,1.0,4.0,6.0,0.5376344086021506,2.1505376344086025,0.0,2.1505376344086025,2.9268292682926833,2.6881720430107525,24.731182795698924,2.9268292682926833,0.0
201734,2017-08-26,2017-08-31,region,prairies,458.0,7.0,0.0,439.0,0.0,416.0,416.0,7.0,388.0,9.0,416.0,89.0,388.0,1.0,12.0,7.0,0.25773195876288657,2.3195876288659796,0.0,2.8846153846153846,1.5283842794759825,1.6826923076923077,21.394230769230766,1.5283842794759825,0.0
201734,2017-08-26,2017-08-31,region,bc,145.0,3.0,1.0,145.0,0.0,97.0,97.0,1.0,97.0,0.0,85.0,36.0,85.0,0.0,5.0,4.0,0.0,0.0,0.0,5.154639175257731,2.7586206896551726,1.0309278350515463,42.35294117647059,2.0689655172413794,0.6896551724137931
201734,2017-08-26,2017-08-31,lab,yk,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,0.0,1.0,,,0.0,,100.0,,,100.0,0.0
201734,2017-08-26,2017-08-31,lab,nt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,nu,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,region,territories,7.0,1.0,0.0,7.0,0.0,6.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0
201734,2017-08-26,2017-08-31,nation,ca,1592.0,16.0,1.0,1584.0,7.0,1272.0,1286.0,20.0,1239.0,13.0,778.0,171.0,1011.0,3.0,47.0,17.0,0.2967359050445104,1.0492332526230832,0.4419191919191919,3.6949685534591192,1.0678391959798994,1.5552099533437014,21.979434447300772,1.0050251256281406,0.06281407035175879
201733,2017-08-19,2017-08-24,lab,nl,20.0,0.0,0.0,20.0,0.0,20.0,20.0,1.0,20.0,0.0,20.0,2.0,,,1.0,0.0,,0.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,pe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,ns,13.0,0.0,0.0,14.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,nb,20.0,0.0,0.0,16.0,0.0,16.0,16.0,0.0,16.0,0.0,16.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0
201733,2017-08-19,2017-08-24,region,atlantic,53.0,0.0,0.0,50.0,0.0,41.0,41.0,1.0,41.0,0.0,41.0,6.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4390243902439024,0.0,2.4390243902439024,14.634146341463413,0.0,0.0
201733,2017-08-19,2017-08-24,lab,région nord-est,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,québec-chaudière-appalaches,63.0,0.0,0.0,66.0,0.0,67.0,69.0,2.0,64.0,0.0,,,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.898550724637681,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,centre-du-québec,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,montréal-laval,330.0,6.0,0.0,346.0,3.0,318.0,326.0,15.0,276.0,2.0,,,276.0,1.0,12.0,6.0,0.36231884057971014,0.7246376811594203,0.8670520231213872,3.7735849056603774,1.8181818181818181,4.601226993865031,,1.8181818181818181,0.0
201733,2017-08-19,2017-08-24,lab,ouest du québec,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,montérégie,10.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0
201733,2017-08-19,2017-08-24,region,qc,430.0,6.0,0.0,444.0,4.0,385.0,395.0,17.0,340.0,2.0,,,339.0,1.0,12.0,6.0,0.2949852507374631,0.5882352941176471,0.9009009009009009,3.116883116883117,1.3953488372093024,4.30379746835443,,1.3953488372093024,0.0
201733,2017-08-19,2017-08-24,lab,ottawa phl,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,cheo/hee0 - ottawa,42.0,1.0,0.0,42.0,2.0,14.0,14.0,1.0,14.0,0.0,14.0,5.0,14.0,0.0,0.0,1.0,0.0,0.0,4.761904761904762,0.0,2.380952380952381,7.142857142857142,35.714285714285715,2.380952380952381,0.0
201733,2017-08-19,2017-08-24,lab,kingston phl,8.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,7.0,0.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0
201733,2017-08-19,2017-08-24,lab,uhn / mount sinai hospital,110.0,0.0,0.0,110.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,phol - toronto,146.0,2.0,0.0,145.0,1.0,145.0,145.0,0.0,143.0,0.0,74.0,13.0,72.0,0.0,2.0,2.0,0.0,0.0,0.6896551724137931,1.3793103448275863,1.36986301369863,0.0,17.56756756756757,1.36986301369863,0.0
201733,2017-08-19,2017-08-24,lab,sick kids'hospital - toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,sunnybrook & women's college hsc,24.0,0.0,0.0,24.0,0.0,24.0,24.0,0.0,24.0,0.0,24.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333336,0.0,0.0
201733,2017-08-19,2017-08-24,lab,sault ste marie phl,7.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,timmins phl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,st joseph's - london,17.0,0.0,0.0,17.0,0.0,17.0,17.0,0.0,17.0,0.0,17.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0
