time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2024-02-03,province,bc,4420.0,470,4626.0,397,58,4426.0,324,1085.0,1085.0,39,1085.0,59,1035.0,94,1035.0,46,14,455,4.44,5.44,10.63,7.32,1.29,9.83,3.59,9.08,8.58,1.25
2024-02-03,province,on,9011.0,879,7738.0,642,79,7736.0,164,5534.0,5534.0,41,5534.0,75,5534.0,181,3717.0,233,92,721,6.27,1.36,9.75,2.12,1.66,9.32,0.74,3.27,8.3,1.02
2024-02-03,province,qc,10995.0,943,12036.0,2298,73,7985.0,405,1833.0,1841.0,47,1831.0,45,,0,1647.0,84,10,2371,5.1,2.46,8.58,5.07,0.55,19.7,2.55,,19.09,0.61
2024-02-10,nation,ca,34740.0,3054,33997.0,3525,592,29075.0,1515,10714.0,10761.0,198,10709.0,272,8831.0,553,8766.0,596,167,4117,6.8,2.54,8.79,5.21,1.56,12.11,1.84,6.26,10.37,1.74
2024-02-10,province,bc,3940.0,423,4119.0,329,51,3937.0,247,969.0,969.0,57,969.0,69,918.0,114,918.0,57,32,380,6.21,7.12,10.74,6.27,3.3,9.23,5.88,12.42,7.99,1.24
2024-02-10,province,on,8519.0,722,7402.0,535,111,7404.0,120,5194.0,5192.0,35,5191.0,82,5191.0,221,3456.0,242,90,646,7.0,1.58,8.48,1.62,1.73,8.73,0.67,4.26,7.23,1.5
2024-02-10,province,qc,10544.0,773,11857.0,2135,124,7832.0,360,1832.0,1852.0,48,1828.0,48,,0,1653.0,157,9,2260,9.5,2.63,7.33,4.6,0.49,19.06,2.59,,18.01,1.05
2024-02-17,nation,ca,35098.0,2850,33917.0,3198,739,29028.0,1303,10731.0,10779.0,132,10757.0,303,8854.0,547,8846.0,684,165,3938,7.73,2.82,8.12,4.49,1.54,11.61,1.22,6.18,9.43,2.18
2024-02-17,province,bc,3722.0,411,4006.0,273,56,3846.0,189,982.0,982.0,29,982.0,65,941.0,113,941.0,56,27,329,5.95,6.62,11.04,4.91,2.75,8.21,2.95,12.01,6.81,1.4
2024-02-17,province,on,8901.0,666,7689.0,569,144,7689.0,89,5369.0,5369.0,32,5376.0,115,5376.0,234,3661.0,328,76,713,8.96,2.14,7.48,1.16,1.42,9.27,0.6,4.35,7.4,1.87
2024-02-17,province,qc,11071.0,735,11966.0,1988,183,7969.0,363,1863.0,1875.0,37,1864.0,69,,0,1700.0,138,10,2171,8.12,3.7,6.64,4.56,0.54,18.14,1.97,,16.61,1.53
2024-02-24,nation,ca,34145.0,2557,33294.0,2667,1055,28917.0,1382,10455.0,10525.0,137,10425.0,328,8644.0,537,8546.0,708,192,3722,8.28,3.15,7.49,4.78,1.84,11.18,1.3,6.21,8.01,3.17
2024-02-24,province,bc,3872.0,482,4225.0,245,77,4057.0,226,979.0,979.0,29,979.0,76,945.0,101,945.0,80,25,322,8.47,7.76,12.45,5.57,2.55,7.62,2.96,10.69,5.8,1.82
2024-03-30,province,qc,8537.0,230,9561.0,335,637,6609.0,250,1540.0,1565.0,48,1536.0,106,,0,1418.0,84,57,971,5.92,6.9,2.69,3.78,3.7,10.16,3.07,,3.5,6.66
2024-04-06,nation,ca,29672.0,1401,30169.0,688,2039,26397.0,549,9666.0,9717.0,154,9626.0,495,8012.0,604,7932.0,537,437,2727,6.77,5.14,4.72,2.08,4.52,9.04,1.58,7.54,2.28,6.76
2024-04-06,province,bc,3303.0,348,3455.0,78,104,3364.0,68,880.0,880.0,37,880.0,47,852.0,85,852.0,54,46,182,6.34,5.34,10.54,2.02,5.23,5.27,4.2,9.98,2.26,3.01
