time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2023-08-26,province,nl,377.0,47,217.0,0,0,217.0,1,217.0,217.0,5,217.0,0,217.0,39,217.0,2,3,0,0.922,0.0,12.467,0.461,1.382,0.0,2.304,17.972,0.0,0.0
2022-09-03,nation,ca,95312.0,12772,12769.0,23,3,11585.0,132,3433.0,3472.0,79,3492.0,63,2845.0,440,2818.0,15,96,26,0.53,1.8,13.4,1.14,2.8,0.2,2.28,15.47,0.18,0.02
2023-04-22,nation,ca,40231.0,4401,22666.0,116,419,19854.0,260,7629.0,7670.0,214,7677.0,302,6819.0,591,6369.0,232,297,535,3.64,3.93,10.94,1.31,3.89,2.36,2.79,8.67,0.51,1.85
2023-04-22,province,bc,3660.0,682,3293.0,7,24,3177.0,60,652.0,674.0,25,674.0,37,649.0,87,649.0,20,47,31,3.08,5.49,18.63,1.89,7.21,0.94,3.71,13.41,0.21,0.73
2023-04-22,province,on,9788.0,908,5961.0,17,84,5961.0,34,4321.0,4322.0,96,4325.0,194,4325.0,295,3046.0,116,100,101,3.81,4.49,9.28,0.57,2.31,1.7,2.22,6.82,0.29,1.41
2023-04-22,province,qc,16103.0,1560,6585.0,53,197,4094.0,69,821.0,839.0,57,825.0,15,,0,821.0,28,32,250,3.41,1.82,9.69,1.69,3.9,3.79,6.79,,0.8,2.99
2023-04-29,nation,ca,38134.0,3844,21493.0,103,393,18841.0,215,7257.0,7265.0,191,7276.0,257,6436.0,636,6056.0,264,295,496,4.36,3.53,10.08,1.14,4.07,2.31,2.63,9.88,0.48,1.83
2023-04-29,province,bc,3690.0,665,3292.0,17,10,3126.0,41,691.0,691.0,34,691.0,40,671.0,98,671.0,35,47,27,5.22,5.79,18.02,1.31,6.8,0.82,4.92,14.61,0.52,0.3
2023-04-29,province,on,9083.0,713,5560.0,6,93,5560.0,27,4032.0,4032.0,68,4036.0,152,4036.0,304,2836.0,120,117,99,4.23,3.77,7.85,0.49,2.9,1.78,1.69,7.53,0.11,1.67
2023-04-29,province,qc,15387.0,1423,6155.0,43,172,3925.0,75,802.0,811.0,57,804.0,19,,0,802.0,22,33,215,2.74,2.36,9.25,1.91,4.11,3.49,7.03,,0.7,2.79
