time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2018-08-25,territory,yk,3.0,0,0,3.0,0,,,0,,0,,0,,0,0,0
2018-06-16,province,qc,671.0,4,1,634.0,5,425.0,428.0,13,414.0,15,,0,384.0,1,33,5
2017-11-18,province,bc,423.0,16,8,423.0,10,196.0,196.0,1,196.0,0,149.0,39,149.0,1,10,24
2018-03-24,province,bc,732.0,116,122,732.0,41,264.0,264.0,8,264.0,42,191.0,35,191.0,17,5,238
2017-10-07,province,qc,707.0,15,2,690.0,8,465.0,478.0,29,451.0,1,,0,404.0,0,20,17
2018-01-27,province,qc,6273.0,1241,800,5425.0,538,817.0,822.0,20,782.0,22,,0,741.0,37,5,2041
2018-03-24,province,on,1878.0,193,129,1625.0,61,919.0,905.0,5,902.0,41,221.0,17,192.0,6,14,322
2018-01-27,province,on,3084.0,465,404,2334.0,142,1307.0,1284.0,13,1277.0,28,292.0,19,250.0,25,14,869
2018-06-30,province,on,562.0,2,0,559.0,2,369.0,357.0,1,349.0,4,128.0,36,97.0,1,29,2
2017-09-09,province,bc,114.0,13,0,114.0,0,96.0,96.0,0,96.0,2,75.0,16,75.0,0,6,13
2017-10-21,province,on,907.0,7,1,888.0,17,644.0,637.0,1,628.0,6,149.0,36,127.0,0,21,8
2018-01-27,province,bc,1132.0,137,214,1132.0,47,302.0,302.0,1,302.0,13,222.0,22,222.0,28,8,351
2017-12-02,nation,ca,6044.0,709,190,5303.0,199,3426.0,3430.0,58,3347.0,65,2182.0,277,2610.0,60,169,899
2018-07-28,province,on,524.0,5,0,524.0,4,362.0,344.0,5,337.0,1,122.0,21,88.0,0,11,5
2018-06-30,province,bc,146.0,0,0,146.0,1,118.0,118.0,3,118.0,4,92.0,22,92.0,1,6,0
2018-05-19,province,bc,215.0,1,0,215.0,5,121.0,121.0,3,121.0,13,88.0,24,88.0,3,13,1
2017-11-04,province,qc,1030.0,15,6,879.0,38,515.0,529.0,25,499.0,2,,0,455.0,2,16,21
2018-07-28,province,qc,377.0,3,1,423.0,3,341.0,342.0,9,335.0,0,,0,335.0,1,18,4
2018-05-12,province,bc,223.0,3,2,223.0,6,145.0,145.0,2,145.0,9,104.0,25,104.0,2,8,5
2017-09-30,province,qc,586.0,3,1,600.0,7,467.0,476.0,17,450.0,1,,0,422.0,1,15,4
2018-03-24,nation,ca,9028.0,816,966,8176.0,552,3612.0,3597.0,69,3540.0,237,2207.0,226,2404.0,144,72,1782
2018-02-03,nation,ca,14319.0,2260,2125,12240.0,878,4811.0,4798.0,69,4715.0,214,2705.0,164,3273.0,278,82,4384
2017-12-02,province,on,1246.0,44,20,1195.0,62,730.0,718.0,11,722.0,10,175.0,35,153.0,1,23,64
2018-05-05,province,bc,284.0,16,5,284.0,7,181.0,181.0,5,181.0,21,126.0,36,126.0,2,9,21
2018-03-17,province,qc,4530.0,538,567,3841.0,237,736.0,739.0,21,713.0,39,,0,648.0,21,12,1105
2018-06-02,province,bc,155.0,3,0,155.0,2,109.0,109.0,1,109.0,7,87.0,26,87.0,0,5,3
2018-06-30,province,qc,448.0,0,1,475.0,1,332.0,333.0,11,324.0,2,,0,295.0,2,22,1
2017-09-09,province,on,482.0,9,2,476.0,2,324.0,317.0,4,309.0,0,215.0,48,198.0,1,13,11
2018-07-21,province,qc,379.0,0,0,446.0,3,342.0,347.0,14,328.0,1,,0,305.0,2,15,0
2017-12-02,province,bc,367.0,33,22,367.0,5,215.0,215.0,1,215.0,2,158.0,29,158.0,7,17,55
2018-04-28,province,bc,333.0,19,22,333.0,10,155.0,155.0,3,155.0,12,122.0,29,122.0,6,4,41
2017-09-23,province,bc,189.0,24,1,189.0,0,163.0,163.0,0,163.0,1,125.0,31,125.0,0,1,25
2018-07-28,nation,ca,1682.0,9,1,1706.0,8,1333.0,1316.0,26,1259.0,3,739.0,150,976.0,3,75,10
2017-12-23,province,bc,668.0,141,122,668.0,21,231.0,231.0,6,231.0,2,180.0,42,180.0,6,14,263
2018-02-03,province,bc,950.0,152,157,950.0,42,332.0,332.0,10,332.0,19,223.0,19,223.0,19,4,309
2018-07-28,province,bc,177.0,0,0,177.0,0,106.0,106.0,1,106.0,0,93.0,13,93.0,2,16,0
2018-06-09,province,on,666.0,6,0,661.0,4,449.0,434.0,5,436.0,6,101.0,14,80.0,0,32,6
2017-09-23,province,on,753.0,6,1,748.0,8,546.0,534.0,8,522.0,0,234.0,61,206.0,2,8,7
2018-03-24,province,qc,3701.0,331,354,3228.0,233,634.0,633.0,22,620.0,24,,0,537.0,12,12,685
2018-01-13,province,on,3395.0,451,402,2728.0,213,1591.0,1561.0,5,1566.0,29,321.0,17,255.0,21,33,853
2018-04-07,nation,ca,7496.0,628,661,6805.0,437,3265.0,3244.0,61,3180.0,245,1973.0,264,2242.0,86,85,1289
2017-10-28,province,bc,322.0,17,1,322.0,6,215.0,215.0,1,215.0,0,173.0,57,173.0,0,19,18
2018-03-31,province,on,1701.0,189,132,1438.0,40,794.0,782.0,11,779.0,38,225.0,32,201.0,9,14,321
2017-09-23,province,qc,516.0,6,0,522.0,10,380.0,392.0,15,343.0,1,,0,343.0,1,12,6
2018-05-26,province,bc,171.0,1,0,171.0,3,135.0,135.0,9,135.0,9,107.0,29,107.0,0,9,1
2018-03-31,province,qc,3069.0,237,269,2749.0,204,598.0,599.0,21,534.0,41,,0,532.0,8,19,506
2017-12-30,nation,ca,10597.0,1994,1008,9234.0,631,4518.0,4496.0,67,4358.0,160,2978.0,237,3435.0,224,174,3002
2018-06-09,province,bc,160.0,1,0,160.0,4,113.0,113.0,2,113.0,4,92.0,23,92.0,1,7,1
2018-01-20,nation,ca,15001.0,2600,1913,12931.0,869,5297.0,5291.0,66,5199.0,228,3120.0,178,3619.0,286,143,4512
2017-09-02,nation,ca,1816.0,29,5,1779.0,8,1518.0,1508.0,15,1423.0,29,950.0,222,1177.0,9,48,34
2018-05-19,nation,ca,3387.0,70,38,3322.0,103,2041.0,2033.0,51,1933.0,82,1206.0,245,1451.0,29,161,108
2017-11-11,nation,ca,4856.0,231,47,4398.0,94,3048.0,3023.0,77,2926.0,38,1815.0,386,2129.0,11,162,278
2017-11-25,province,bc,365.0,21,12,365.0,9,256.0,256.0,1,256.0,4,223.0,39,223.0,2,25,33
2018-04-07,province,bc,502.0,45,79,502.0,20,204.0,204.0,5,204.0,26,146.0,29,146.0,8,10,124
2017-10-14,nation,ca,3080.0,82,11,2943.0,22,2357.0,2351.0,45,2278.0,13,1374.0,462,1672.0,9,82,93
2018-01-13,province,qc,7033.0,1261,738,5613.0,506,928.0,931.0,27,820.0,13,,0,819.0,67,13,1999
2017-09-02,province,qc,431.0,0,0,440.0,4,369.0,376.0,5,359.0,6,0.0,0,329.0,0,16,0
2018-08-04,province,on,467.0,0,0,466.0,2,319.0,304.0,1,297.0,4,117.0,21,86.0,2,10,0
2018-01-20,province,bc,1456.0,351,328,1456.0,66,415.0,415.0,0,415.0,12,258.0,24,258.0,35,10,679
2018-06-30,nation,ca,1953.0,11,6,1949.0,15,1508.0,1497.0,33,1442.0,21,909.0,275,1107.0,5,115,17
2018-08-04,province,bc,155.0,3,1,155.0,0,93.0,93.0,0,93.0,2,80.0,23,80.0,2,10,4
2017-12-23,province,on,1939.0,160,96,1746.0,139,1039.0,1022.0,9,991.0,20,228.0,25,195.0,12,24,256
2017-11-25,province,qc,1677.0,49,14,1328.0,107,624.0,640.0,25,607.0,3,,0,607.0,5,30,63
2018-05-05,province,on,1072.0,41,29,1012.0,19,635.0,616.0,11,563.0,31,214.0,35,173.0,10,23,70
2018-03-31,nation,ca,7787.0,681,767,7089.0,481,3176.0,3165.0,66,3060.0,211,1939.0,244,2245.0,82,69,1448
2018-01-27,nation,ca,14146.0,2364,1802,12216.0,858,4691.0,4673.0,74,4585.0,222,2628.0,160,3269.0,257,83,4166
2018-03-31,province,bc,639.0,67,85,639.0,41,250.0,250.0,3,250.0,31,180.0,29,180.0,8,7,152
2018-01-20,province,qc,6234.0,1119,776,5290.0,502,876.0,883.0,20,849.0,18,,0,778.0,39,12,1895
2018-01-20,province,on,3169.0,452,406,2449.0,164,1405.0,1392.0,13,1383.0,28,272.0,10,221.0,16,15,858
2017-09-09,nation,ca,1707.0,36,3,1708.0,16,1393.0,1394.0,25,1302.0,6,922.0,225,1142.0,2,42,39
2017-11-25,province,on,1205.0,23,8,1169.0,51,757.0,745.0,8,737.0,10,220.0,48,187.0,5,27,31
2017-11-18,province,on,1188.0,33,5,1161.0,30,796.0,780.0,8,779.0,4,206.0,47,180.0,0,23,38
2017-12-23,province,qc,3274.0,381,187,2764.0,350,737.0,743.0,34,643.0,5,,0,640.0,21,19,568
2018-08-04,nation,ca,1733.0,7,1,1729.0,10,1410.0,1395.0,28,1347.0,10,830.0,175,1050.0,5,85,8
2017-11-11,province,on,1245.0,24,3,1217.0,35,857.0,826.0,6,831.0,10,202.0,28,161.0,0,30,27
2018-05-12,province,qc,1396.0,31,12,1530.0,56,464.0,465.0,14,436.0,22,,0,400.0,3,30,43
2018-02-03,province,on,2979.0,432,420,2256.0,164,1293.0,1277.0,9,1278.0,31,263.0,24,235.0,18,13,852
2018-03-17,province,on,2307.0,297,199,1899.0,77,1124.0,1099.0,7,1110.0,58,262.0,33,227.0,9,11,496
2017-11-04,province,on,1182.0,13,1,1168.0,18,816.0,791.0,7,786.0,5,195.0,43,157.0,2,19,14
2018-03-03,province,on,2684.0,398,321,2134.0,102,1163.0,1150.0,6,1140.0,28,250.0,17,207.0,13,15,719
2018-07-14,province,bc,120.0,1,0,120.0,0,104.0,104.0,0,104.0,2,76.0,17,76.0,0,11,1
2017-10-07,province,bc,340.0,16,1,340.0,0,282.0,282.0,5,282.0,6,236.0,147,236.0,7,8,17
2017-10-21,province,bc,324.0,16,4,324.0,3,213.0,213.0,3,213.0,0,148.0,57,148.0,0,7,20
2018-07-14,province,on,518.0,2,0,515.0,3,349.0,342.0,5,334.0,3,107.0,16,86.0,0,20,2
2018-05-19,province,on,816.0,14,6,791.0,17,508.0,495.0,9,493.0,11,156.0,37,138.0,3,36,20
2018-07-07,province,on,472.0,3,1,471.0,2,316.0,303.0,3,298.0,1,108.0,25,87.0,1,24,4
2018-06-02,province,qc,847.0,12,5,871.0,17,444.0,450.0,29,401.0,14,,0,401.0,2,28,17
2018-02-17,province,on,2976.0,457,426,2270.0,141,1212.0,1195.0,11,1196.0,34,292.0,11,243.0,16,11,883
2017-10-21,nation,ca,3409.0,101,15,3210.0,43,2469.0,2473.0,45,2370.0,21,1401.0,457,1729.0,7,96,116
2017-11-04,province,bc,342.0,9,4,342.0,6,220.0,220.0,1,220.0,2,182.0,55,182.0,0,22,13
2018-03-03,province,qc,6595.0,1071,1034,5459.0,358,881.0,878.0,14,849.0,50,,0,753.0,25,13,2105
2017-10-07,nation,ca,3048.0,66,5,2941.0,17,2361.0,2358.0,53,2275.0,21,1390.0,574,1671.0,10,73,71
2017-09-16,province,qc,511.0,2,0,543.0,7,431.0,441.0,14,415.0,2,,0,389.0,0,4,2
2017-12-09,province,on,1244.0,51,17,1192.0,71,787.0,763.0,12,766.0,10,191.0,36,165.0,4,15,68
2018-03-10,nation,ca,11535.0,1368,1714,10009.0,682,3957.0,3925.0,63,3887.0,262,2359.0,201,2756.0,196,67,3082
2018-06-16,province,bc,136.0,2,0,136.0,4,91.0,91.0,5,91.0,0,68.0,23,68.0,0,5,2
2018-06-02,nation,ca,2649.0,44,14,2607.0,45,1735.0,1717.0,55,1621.0,56,982.0,222,1259.0,7,141,58
2017-09-16,province,bc,126.0,1,2,126.0,0,105.0,105.0,1,105.0,6,89.0,31,89.0,0,13,3
2018-02-17,province,qc,7121.0,1361,1408,6401.0,426,911.0,912.0,14,869.0,30,,0,777.0,31,9,2769
2018-06-16,nation,ca,2230.0,12,6,2162.0,21,1552.0,1540.0,46,1474.0,32,925.0,245,1193.0,12,128,18
2017-12-16,nation,ca,7926.0,1172,473,6884.0,371,4226.0,4211.0,97,4129.0,137,2798.0,304,3282.0,121,199,1645
2018-07-14,nation,ca,1717.0,9,0,1712.0,8,1398.0,1391.0,26,1330.0,17,773.0,185,1004.0,3,95,9
2017-10-14,province,on,874.0,9,3,861.0,10,655.0,633.0,3,637.0,1,188.0,46,160.0,0,16,12
2017-11-04,nation,ca,4234.0,169,30,3846.0,65,2918.0,2907.0,61,2783.0,30,1730.0,412,2004.0,6,132,199
2018-07-07,province,qc,409.0,0,0,498.0,9,357.0,359.0,14,346.0,7,,0,313.0,0,19,0
2017-09-16,province,on,693.0,22,0,679.0,2,490.0,494.0,6,537.0,6,306.0,86,286.0,3,10,22
2018-05-19,province,qc,1117.0,21,3,1128.0,42,450.0,455.0,19,441.0,25,,0,407.0,8,41,24
