time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2023-07-01,province,ns,929.0,64,624.0,1,0,624.0,2,19.0,19.0,0,19.0,0,19.0,7,19.0,0,1,1
2023-07-01,province,pe,73.0,11,10.0,0,0,10.0,0,6.0,6.0,0,6.0,0,6.0,1,6.0,0,0,0
2023-07-01,province,sk,1064.0,34,453.0,4,0,448.0,0,208.0,208.0,20,208.0,2,208.0,67,208.0,6,13,4
2023-07-01,territory,nt,12.0,0,11.0,0,0,11.0,0,,,0,,0,11.0,5,,0,0,0
2023-07-01,territory,nu,55.0,0,44.0,0,0,44.0,0,,,0,,0,,0,,0,0,0
2023-06-24,province,sk,1112.0,33,478.0,4,2,470.0,0,168.0,168.0,9,168.0,1,168.0,44,168.0,1,11,6
2023-06-24,territory,nt,18.0,0,15.0,0,0,15.0,0,,,0,,0,15.0,4,,0,0,0
2023-06-24,territory,nu,51.0,2,46.0,0,1,46.0,0,,,0,,0,,0,,0,0,1
2023-06-24,territory,yk,28.0,1,11.0,0,0,11.0,0,,,0,,0,,0,,0,0,0
2023-06-24,province,pe,69.0,11,6.0,0,0,6.0,0,3.0,3.0,0,3.0,0,3.0,0,3.0,0,0,0
2023-06-24,province,ns,1101.0,114,677.0,1,0,677.0,2,26.0,26.0,1,26.0,0,26.0,2,26.0,0,3,1
2023-06-24,province,nl,376.0,71,231.0,1,0,231.0,6,231.0,231.0,5,231.0,1,231.0,32,231.0,12,9,1
2023-06-24,province,nb,580.0,38,552.0,0,0,546.0,1,69.0,69.0,2,69.0,1,69.0,27,69.0,2,2,0
2023-06-24,province,ab,2289.0,94,1805.0,7,3,1754.0,1,532.0,532.0,5,531.0,0,526.0,76,532.0,3,18,10
2023-06-24,province,mb,889.0,41,744.0,1,0,744.0,3,49.0,49.0,3,75.0,2,49.0,27,75.0,1,1,1
2023-06-17,province,ns,1123.0,151,698.0,3,2,698.0,4,17.0,17.0,0,17.0,0,17.0,6,17.0,1,0,5
2023-06-17,province,pe,49.0,5,12.0,0,0,12.0,0,6.0,6.0,2,6.0,0,6.0,1,6.0,0,0,0
2023-06-17,province,sk,1233.0,36,542.0,7,0,520.0,0,234.0,234.0,9,234.0,10,234.0,46,235.0,3,20,7
2023-06-17,territory,nt,11.0,0,10.0,0,0,10.0,0,,,0,,0,10.0,4,,0,0,0
2023-06-17,territory,nu,85.0,1,76.0,2,2,76.0,0,,,0,,0,,0,,0,0,4
2023-06-17,territory,yk,28.0,1,13.0,1,0,13.0,0,,,0,,0,,0,,0,0,1
2023-06-17,province,nl,351.0,45,227.0,0,1,227.0,3,227.0,227.0,5,227.0,1,227.0,18,227.0,7,15,1
2023-06-17,province,nb,573.0,60,559.0,1,1,553.0,1,73.0,73.0,4,73.0,1,73.0,19,73.0,0,1,2
2023-06-17,province,mb,900.0,64,752.0,0,3,752.0,5,73.0,73.0,4,96.0,3,73.0,26,96.0,0,6,3
2023-06-17,province,ab,2445.0,94,1824.0,4,9,1775.0,1,536.0,536.0,13,536.0,1,517.0,79,536.0,5,14,13
2023-06-10,province,ns,1176.0,208,735.0,1,0,736.0,2,25.0,25.0,1,25.0,0,25.0,4,25.0,0,0,1
2023-06-10,province,pe,99.0,12,22.0,0,0,22.0,0,7.0,7.0,2,7.0,1,7.0,3,7.0,0,2,0
2023-06-10,territory,yk,31.0,1,13.0,0,0,13.0,0,,,0,,0,,0,,0,0,0
2023-06-10,territory,nu,87.0,0,75.0,1,1,75.0,2,,,0,,0,,0,,0,0,2
2023-06-10,territory,nt,26.0,1,22.0,0,0,22.0,1,,,0,,0,22.0,4,,0,0,0
2023-06-10,province,sk,1213.0,37,569.0,8,1,521.0,1,213.0,213.0,4,213.0,6,213.0,50,212.0,0,11,9
2023-06-10,province,nl,370.0,60,228.0,1,0,228.0,7,228.0,228.0,7,228.0,3,228.0,27,228.0,21,14,1
2023-06-10,province,nb,629.0,65,592.0,1,0,586.0,1,72.0,72.0,3,72.0,1,72.0,17,72.0,0,4,1
2023-06-10,province,mb,915.0,72,788.0,0,4,788.0,4,71.0,71.0,6,87.0,0,71.0,26,87.0,1,4,4
2023-06-10,province,ab,2949.0,136,1973.0,12,6,1917.0,3,626.0,626.0,13,626.0,0,611.0,79,626.0,5,20,18
2023-06-03,territory,yk,31.0,0,14.0,0,0,14.0,0,,,0,,0,,0,,0,0,0
2023-06-03,territory,nu,130.0,0,109.0,0,8,109.0,3,,,0,,0,,0,,0,0,8
2023-06-03,territory,nt,29.0,0,29.0,6,0,29.0,4,,,0,,0,29.0,5,,0,0,6
2023-06-03,province,sk,1224.0,36,503.0,10,1,466.0,0,206.0,206.0,10,206.0,4,206.0,36,206.0,6,28,11
2023-06-03,province,pe,69.0,9,10.0,0,0,10.0,0,5.0,5.0,1,5.0,1,5.0,0,5.0,0,2,0
2023-06-03,province,ns,1042.0,150,683.0,0,0,683.0,2,20.0,20.0,1,20.0,1,20.0,1,20.0,1,2,0
2023-06-03,province,nl,383.0,36,218.0,0,0,218.0,11,218.0,218.0,10,218.0,3,218.0,18,218.0,15,20,0
2023-06-03,province,nb,649.0,65,593.0,0,1,589.0,2,62.0,62.0,4,62.0,2,62.0,9,62.0,1,4,1
2023-06-03,province,ab,3111.0,217,2287.0,8,14,2198.0,7,810.0,810.0,8,810.0,0,810.0,76,810.0,11,17,22
