time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2015-08-29,region,prairies,0.0,0.441
2015-03-21,region,prairies,17.98,11.42
2015-03-28,region,prairies,13.55,9.72
2014-10-18,nation,ca,1.17,1.96
2015-03-28,region,atlantic,13.01,37.56
2015-03-28,province,qc,9.05,18.0
2014-10-18,province,bc,1.97,5.42
2015-03-28,province,on,6.01,13.32
2015-03-28,province,bc,8.83,18.29
2014-09-06,nation,ca,0.22,0.31
2015-03-28,nation,ca,9.32,17.22
2014-10-18,province,on,1.84,1.25
2015-03-21,region,atlantic,9.59,32.27
2014-10-25,nation,ca,2.08,1.52
2014-10-18,province,qc,0.8,1.13
2015-07-18,province,on,0.0,0.4
2015-03-21,province,qc,10.18,17.42
2015-03-21,province,on,7.14,15.36
2014-10-18,region,atlantic,0.85,0.0
2015-03-21,province,bc,8.62,20.69
2015-07-18,province,qc,0.38,0.39
2015-03-21,nation,ca,10.7,17.04
2014-10-18,region,prairies,0.56,2.88
2015-03-14,region,prairies,21.22,7.16
2015-07-18,province,bc,0.0,8.33
2015-04-04,nation,ca,8.15,16.52
2014-12-13,nation,ca,10.01,26.59
2014-10-11,region,prairies,0.36,1.43
2015-04-18,nation,ca,6.64,14.07
2015-04-11,region,prairies,9.51,10.48
2014-09-06,province,bc,0.0,0.0
2015-07-11,province,qc,0.63,0.0
2015-04-11,region,atlantic,13.24,34.34
2014-10-11,province,bc,1.46,7.32
2015-04-11,province,qc,6.91,14.75
2015-04-11,province,on,6.68,11.92
2014-10-11,province,on,1.87,0.54
2015-07-11,region,atlantic,0.0,0.0
2015-04-11,province,bc,6.31,9.46
2015-04-11,nation,ca,7.79,14.56
2014-10-11,province,qc,2.29,0.79
2015-04-04,region,prairies,12.49,9.86
2015-07-11,region,prairies,0.25,0.67
2015-04-04,region,atlantic,11.58,32.1
2015-04-04,province,qc,7.03,17.85
2014-10-11,region,atlantic,0.0,0.0
2015-04-04,province,on,6.08,14.21
2015-07-18,nation,ca,0.08,0.96
2015-04-04,province,bc,3.79,11.37
2015-03-14,region,atlantic,12.39,37.75
2015-07-18,region,atlantic,0.0,0.0
2015-04-18,province,bc,7.53,16.49
2015-02-21,nation,ca,15.27,18.4
2015-07-25,province,on,0.0,1.12
2015-02-28,nation,ca,15.62,16.79
2015-02-21,region,prairies,25.24,8.51
2015-02-21,region,atlantic,12.47,19.25
2015-07-25,province,qc,0.3,0.31
2014-11-01,province,on,3.5,0.92
2015-02-21,province,qc,16.97,17.5
2015-02-21,province,on,8.18,20.67
2014-11-01,province,qc,4.7,1.65
2015-02-21,province,bc,13.39,29.38
2014-11-01,region,atlantic,0.0,0.81
2015-03-14,province,qc,11.56,16.84
2015-02-14,region,prairies,29.1,8.9
2015-02-14,region,atlantic,10.36,27.41
2014-08-30,region,atlantic,0.0,0.0
2014-11-01,region,prairies,1.41,3.27
2015-07-25,region,atlantic,0.0,0.0
2015-02-14,province,qc,14.27,18.9
2015-02-14,province,on,8.11,23.05
2014-11-08,nation,ca,3.75,3.18
2015-07-25,region,prairies,0.24,0.66
2015-02-14,province,bc,13.6,30.26
2014-11-01,province,bc,1.63,4.9
2015-02-28,province,bc,16.62,15.06
2015-02-28,province,on,9.01,17.53
2014-11-01,nation,ca,2.96,2.0
2015-03-14,province,on,6.92,16.56
2014-10-25,province,bc,0.41,4.94
2015-07-18,region,prairies,0.0,0.44
2015-03-14,province,bc,10.69,16.03
2015-03-14,nation,ca,12.11,16.56
2015-03-07,region,prairies,24.85,7.83
2014-10-25,province,on,2.56,1.21
2015-03-07,region,atlantic,13.85,26.77
2015-03-07,province,qc,15.04,17.77
2014-10-25,province,qc,1.72,1.03
2014-08-30,region,prairies,0.26,0.0
2015-03-07,province,on,9.12,15.57
2015-03-07,province,bc,13.37,15.41
2014-10-25,region,atlantic,1.79,0.72
2015-07-25,nation,ca,0.15,0.71
2015-03-07,nation,ca,14.97,16.05
2015-02-28,region,prairies,25.1,7.06
2014-10-25,region,prairies,2.17,1.63
2015-07-25,province,bc,0.0,1.0
2015-02-28,region,atlantic,17.68,30.57
2015-02-28,province,qc,16.13,17.6
2014-10-11,nation,ca,1.45,1.32
2015-04-18,province,on,5.09,12.63
2014-11-08,province,bc,4.02,1.51
2015-05-30,region,atlantic,0.0,3.37
2015-06-06,region,atlantic,0.6,4.12
2015-06-06,province,qc,2.2,0.38
2014-09-13,region,prairies,0.56,1.04
2015-07-04,nation,ca,0.36,1.01
2015-06-06,province,on,0.58,3.04
2015-06-06,province,bc,0.76,6.87
2014-09-20,nation,ca,0.37,0.77
2015-06-06,nation,ca,1.13,3.25
2015-05-30,region,prairies,0.99,6.79
2015-07-04,province,bc,1.19,8.33
2014-09-20,province,bc,0.0,5.72
2015-05-23,province,on,0.72,4.07
2015-05-30,province,qc,1.5,1.22
2015-05-30,province,on,0.8,3.08
2014-09-20,province,on,0.32,0.22
2015-05-30,province,bc,1.42,6.38
2015-05-30,nation,ca,1.04,3.8
2014-09-20,province,qc,0.33,0.75
2015-05-23,region,prairies,1.35,7.76
2015-05-23,region,atlantic,5.06,8.0
2014-09-06,province,qc,0.44,0.78
2015-05-23,province,qc,1.74,4.11
2014-09-13,region,atlantic,0.0,0.0
2015-06-06,region,prairies,1.09,5.05
2015-06-27,region,prairies,0.0,1.97
2015-06-13,nation,ca,0.5,2.75
2014-09-06,region,prairies,0.23,0.0
2015-06-27,province,bc,1.32,21.06
2015-06-27,province,qc,0.26,1.3
2015-06-27,nation,ca,0.26,2.67
2015-06-20,region,prairies,0.19,2.06
2015-06-20,region,atlantic,5.08,0.0
2014-09-13,nation,ca,0.49,0.77
2015-06-20,province,qc,0.49,0.47
2015-06-20,province,on,0.17,2.23
2015-06-27,region,atlantic,3.03,1.32
2014-09-13,province,bc,0.0,4.35
2015-06-20,province,bc,0.0,4.23
2015-06-20,nation,ca,0.42,1.74
2015-06-13,region,prairies,0.16,5.23
2014-09-13,province,on,0.31,0.31
2015-06-13,region,atlantic,4.76,1.64
2014-09-06,region,atlantic,0.0,0.0
2015-06-13,province,qc,0.21,0.4
2015-06-13,province,on,0.43,1.86
2014-09-13,province,qc,0.79,0.55
2015-06-13,province,bc,1.9,4.76
2014-09-20,region,atlantic,1.28,1.33
2015-07-04,province,on,0.17,0.68
2014-10-04,region,prairies,0.0,0.88
2015-04-25,region,atlantic,11.41,23.88
2015-05-02,region,atlantic,9.72,15.13
2015-05-02,province,qc,4.72,9.92
2014-10-04,nation,ca,0.43,1.08
2015-05-02,province,on,2.78,8.3
2015-07-11,nation,ca,0.45,0.43
2015-05-02,province,bc,1.46,15.53
2015-05-02,nation,ca,4.35,10.11
2014-10-04,province,bc,0.0,10.46
2015-04-25,region,prairies,4.94,10.71
2015-07-11,province,bc,0.0,0.0
2014-10-04,province,on,0.29,0.48
2015-05-23,province,bc,0.0,10.69
2015-04-25,province,qc,5.5,10.75
2015-04-25,province,on,3.44,14.14
2015-04-25,province,bc,3.78,10.92
2014-10-04,province,qc,0.85,0.3
2015-07-11,province,on,0.6,0.61
2015-04-25,nation,ca,4.83,12.59
2015-04-18,region,prairies,9.42,10.55
2014-10-04,region,atlantic,3.7,0.0
2015-04-18,region,atlantic,8.6,24.79
2015-04-18,province,qc,6.08,14.69
2015-07-04,region,prairies,0.56,0.24
2014-09-06,province,on,0.0,0.27
2014-09-27,region,prairies,0.56,1.55
2015-05-02,region,prairies,5.62,10.49
2014-09-20,region,prairies,0.39,0.95
2015-05-23,nation,ca,1.28,5.55
2015-05-16,region,prairies,1.67,8.35
2014-09-27,nation,ca,0.73,0.88
2015-07-04,province,qc,0.29,0.3
2015-05-16,region,atlantic,3.96,13.4
2015-05-16,province,qc,2.05,5.46
2014-09-27,province,bc,0.0,1.58
2015-05-16,province,on,2.22,6.31
2015-05-16,province,bc,1.61,19.35
2015-07-04,region,atlantic,0.0,3.45
2015-05-16,nation,ca,2.06,7.75
2014-09-27,province,on,0.35,0.44
2015-05-09,region,prairies,2.85,7.3
2015-05-09,region,atlantic,10.37,16.59
2014-09-27,province,qc,1.65,0.47
2015-05-09,province,qc,2.94,7.92
2015-05-09,province,on,2.61,8.51
2015-05-09,province,bc,3.26,11.41
2014-09-27,region,atlantic,1.41,1.19
2015-05-09,nation,ca,3.2,8.62
2015-02-14,nation,ca,14.83,20.5
2015-06-27,province,on,0.0,1.9
2014-11-15,region,atlantic,3.51,0.83
2014-11-22,nation,ca,6.09,8.53
2014-08-30,nation,ca,0.38,0.38
2014-12-20,province,qc,10.37,26.91
2015-01-17,region,atlantic,8.71,28.95
2014-11-15,region,prairies,4.45,10.84
2015-08-22,province,bc,0.0,7.53
2014-12-06,nation,ca,8.59,19.22
2015-01-17,province,qc,11.54,19.98
2015-08-08,province,on,0.22,0.88
2015-01-17,nation,ca,10.07,29.43
2015-08-22,nation,ca,0.44,0.96
2014-12-20,region,atlantic,3.65,24.64
2015-01-17,province,on,8.9,30.25
2014-12-20,region,prairies,7.27,36.95
2015-01-17,province,bc,6.78,63.11
2014-11-22,province,bc,6.03,10.77
2015-08-15,region,prairies,0.27,0.24
2015-01-17,region,prairies,12.79,24.94
2015-08-08,province,bc,1.28,10.25
2014-12-06,province,bc,10.0,18.39
2015-01-24,nation,ca,12.5,28.14
2015-01-24,region,atlantic,9.4,40.85
2015-08-01,region,atlantic,0.0,0.0
2014-12-20,nation,ca,10.02,28.74
2014-11-15,province,on,7.2,2.38
2015-01-24,province,qc,15.96,21.47
2015-08-22,province,qc,1.23,0.0
2015-08-01,region,prairies,0.78,0.23
2015-01-24,province,on,7.83,31.21
2014-12-06,province,on,9.54,9.22
2014-11-15,province,qc,7.95,2.79
2014-12-20,province,bc,13.38,28.4
2015-01-24,province,bc,12.75,46.59
2015-08-22,province,on,0.2,0.0
2015-08-08,nation,ca,0.24,1.11
2014-12-20,province,on,12.23,25.24
2014-08-30,province,bc,6.98,0.0
2015-01-10,region,prairies,10.01,29.71
2015-01-24,region,prairies,17.81,18.5
2014-11-29,province,on,7.34,5.81
2015-01-03,region,prairies,9.89,33.89
2014-12-27,region,atlantic,5.62,28.72
2015-08-15,region,atlantic,0.0,0.0
2014-11-22,region,prairies,2.55,16.98
2015-08-15,nation,ca,0.25,0.4
2014-12-27,region,prairies,6.57,27.21
2015-01-03,region,atlantic,8.43,36.89
2015-01-03,province,qc,11.51,29.42
2014-11-22,province,on,6.74,2.99
2015-08-15,province,qc,0.6,0.3
2015-08-15,province,bc,0.0,2.82
2014-11-29,nation,ca,7.95,14.49
2015-01-03,nation,ca,10.84,31.51
2015-01-03,province,on,10.23,33.02
2014-11-29,province,bc,5.56,11.11
2015-01-03,province,bc,19.19,21.44
2014-11-29,province,qc,11.73,16.28
2015-08-08,region,prairies,0.0,0.0
2015-08-01,nation,ca,0.32,0.97
