time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2024-06-08,territory,yk,36.0,7,21.0,0,1,21.0,0,,,0,,0,,0,,0,0,1
2023-09-23,province,qc,13455.0,2756,4734.0,14,0,3652.0,83,1122.0,1134.0,12,1124.0,12,,0,1122.0,9,32,14
2024-01-20,province,bc,4141.0,452,4397.0,427,15,4214.0,285,1003.0,1003.0,29,1003.0,48,968.0,97,968.0,31,13,442
2023-09-30,nation,ca,40587.0,7951,21530.0,110,19,20217.0,230,8627.0,8614.0,99,8680.0,44,7479.0,1385,7026.0,20,114,129
2023-12-09,province,on,11644.0,2174,8466.0,599,18,8465.0,626,6040.0,6041.0,71,6037.0,37,6046.0,272,4007.0,23,87,617
2024-05-18,nation,ca,25259.0,2064,24202.0,160,581,21771.0,216,8563.0,8608.0,134,8514.0,302,6999.0,752,7061.0,186,603,741
2024-03-30,province,on,6962.0,298,6384.0,156,210,6384.0,37,4578.0,4578.0,40,4589.0,217,4589.0,236,3111.0,202,210,366
2023-11-11,province,bc,3545.0,511,3460.0,137,5,3459.0,124,784.0,784.0,11,784.0,7,743.0,160,743.0,6,40,142
2024-02-10,province,on,8519.0,722,7402.0,535,111,7404.0,120,5194.0,5192.0,35,5191.0,82,5191.0,221,3456.0,242,90,646
2024-01-20,nation,ca,38190.0,4335,35213.0,3616,278,30827.0,1890,11423.0,11461.0,127,11426.0,251,9564.0,439,9527.0,371,123,3895
2023-12-09,province,qc,14467.0,3296,8141.0,581,10,5930.0,659,1630.0,1652.0,62,1635.0,39,,0,1523.0,25,18,591
2024-05-11,province,qc,7355.0,364,8466.0,55,386,6002.0,134,1654.0,1666.0,38,1652.0,89,,0,1530.0,48,87,441
2023-09-09,nation,ca,28237.0,4495,15430.0,66,9,14361.0,102,6321.0,6332.0,96,6354.0,25,5414.0,804,5195.0,22,94,76
2024-03-30,province,qc,8537.0,230,9561.0,335,637,6609.0,250,1540.0,1565.0,48,1536.0,106,,0,1418.0,84,57,971
2023-11-11,province,qc,11815.0,2351,5970.0,50,4,4680.0,373,1257.0,1274.0,38,1256.0,27,,0,1187.0,6,23,54
2024-03-02,nation,ca,33779.0,2375,32543.0,2187,1311,28626.0,1085,10419.0,10484.0,173,10398.0,408,8601.0,557,8590.0,609,250,3498
2023-10-28,province,on,9276.0,1795,6814.0,34,4,6814.0,287,5223.0,5223.0,36,5200.0,16,5227.0,520,3707.0,11,50,38
2024-04-06,nation,ca,29672.0,1401,30169.0,688,2039,26397.0,549,9666.0,9717.0,154,9626.0,495,8012.0,604,7932.0,537,437,2727
2024-01-13,province,qc,13921.0,2053,12702.0,1946,24,9029.0,554,1882.0,1901.0,44,1887.0,30,,0,1719.0,43,10,1970
2023-12-16,nation,ca,48215.0,8573,38612.0,5915,139,34607.0,2512,12631.0,12719.0,254,12683.0,166,11005.0,649,10458.0,154,184,6054
2023-09-23,province,on,8514.0,1565,5652.0,12,3,5652.0,81,4366.0,4365.0,27,4365.0,6,4365.0,747,2995.0,12,76,15
2023-10-21,province,on,9300.0,1568,6834.0,32,5,6834.0,254,5293.0,5292.0,40,5298.0,17,5298.0,573,3707.0,2,80,37
2024-02-24,nation,ca,34145.0,2557,33294.0,2667,1055,28917.0,1382,10455.0,10525.0,137,10425.0,328,8644.0,537,8546.0,708,192,3722
2024-04-06,province,bc,3303.0,348,3455.0,78,104,3364.0,68,880.0,880.0,37,880.0,47,852.0,85,852.0,54,46,182
2023-12-16,province,bc,3746.0,384,4496.0,640,7,4347.0,413,1082.0,1082.0,26,1082.0,30,1059.0,153,1059.0,19,32,647
2024-05-11,province,on,6071.0,473,5593.0,30,61,5592.0,19,4051.0,4051.0,30,4053.0,174,4053.0,323,2693.0,84,262,91
2024-05-18,province,bc,2982.0,363,3217.0,57,45,3211.0,16,818.0,818.0,19,818.0,37,791.0,128,791.0,21,81,102
2023-10-21,province,bc,3737.0,640,3599.0,38,4,3599.0,45,733.0,733.0,24,733.0,8,695.0,154,695.0,1,16,42
2024-03-30,province,bc,3450.0,319,3681.0,113,116,3555.0,65,927.0,927.0,37,927.0,75,911.0,117,911.0,56,52,229
2023-12-09,province,bc,4272.0,440,3590.0,471,4,3475.0,325,746.0,746.0,27,746.0,7,695.0,123,695.0,16,16,475
2023-12-02,province,on,11174.0,2242,8447.0,376,14,8447.0,717,5967.0,5967.0,81,5965.0,28,5970.0,310,4241.0,18,83,390
