epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,flu_positive_tests
202423,2024-06-08,2024-06-14,lab,mb,977,87,837,0,0,2,2,5,837,1,72,0,0,10,1,0,72,4,89,2,72,25,89,3,NA
202423,2024-06-08,2024-06-14,lab,sk,1144,87,825,0,0,7,7,10,715,5,313,0,0,24,0,0,313,4,313,2,313,37,313,5,NA
202423,2024-06-08,2024-06-14,lab,ab,3397,410,1057,2,3,3,9,16,908,3,897,4,1,33,0,0,897,10,830,1,884,107,897,14,NA
202423,2024-06-08,2024-06-14,region,prairies,5518,584,2719,2,3,12,18,31,2460,9,1282,4,1,67,1,0,1282,18,1232,5,1269,169,1299,22,NA
202423,2024-06-08,2024-06-14,region,bc,2901,430,2698,8,4,0,39,13,2698,3,683,3,0,64,3,0,683,15,683,14,662,116,662,9,NA
202423,2024-06-08,2024-06-14,lab,yt,36,7,21,0,0,0,0,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202423,2024-06-08,2024-06-14,lab,nt,16,0,16,0,0,0,0,0,16,0,NA,NA,NA,NA,NA,NA,16,0,16,0,16,8,NA,NA,NA
202423,2024-06-08,2024-06-14,lab,nu,170,12,139,0,0,0,0,5,139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202423,2024-06-08,2024-06-14,region,territories,222,19,176,0,0,0,0,6,176,0,NA,NA,NA,NA,NA,NA,16,0,16,0,16,8,NA,NA,NA
202423,2024-06-08,2024-06-14,nation,ca,22518,2188,17867,16,9,52,103,99,16269,68,7521,10,8,301,8,118,7541,106,7482,147,6133,724,6103,87,NA
