time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2018-09-22,territory,nu,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-15,territory,nt,9.0,0,0,9.0,0,9.0,9.0,2,9.0,0,9.0,2,9.0,1,0,0,11.111,0.0,0.0,0.0,0.0,22.222,22.222,0.0,0.0
2018-09-15,province,mb,124.0,0,0,124.0,0,96.0,96.0,1,38.0,0,96.0,17,38.0,0,1,0,0.0,0.0,0.0,1.042,0.0,1.042,17.708,0.0,0.0
2018-09-15,territory,nu,1.0,0,0,1.0,0,1.0,1.0,0,1.0,0,1.0,1,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2018-09-15,territory,yk,3.0,0,0,3.0,0,,,0,,0,,0,,0,0,0,,,0.0,,0.0,,,0.0,0.0
2018-09-15,province,ab,407.0,2,1,373.0,0,373.0,373.0,3,373.0,3,373.0,126,373.0,0,7,3,0.0,0.804,0.0,1.877,0.737,0.804,33.78,0.491,0.246
2018-09-15,province,sk,168.0,3,0,168.0,0,168.0,168.0,5,168.0,0,168.0,57,168.0,0,2,3,0.0,0.0,0.0,1.19,1.786,2.976,33.929,1.786,0.0
2018-09-15,province,nb,82.0,0,0,82.0,0,27.0,27.0,3,27.0,0,27.0,6,27.0,1,0,0,3.704,0.0,0.0,0.0,0.0,11.111,22.222,0.0,0.0
2018-09-15,province,ns,11.0,0,0,11.0,0,6.0,6.0,0,6.0,0,6.0,2,6.0,0,1,0,0.0,0.0,0.0,16.667,0.0,0.0,33.333,0.0,0.0
2018-09-15,province,pe,3.0,0,0,0.0,0,3.0,3.0,1,3.0,0,3.0,1,3.0,0,1,0,0.0,0.0,0.0,33.333,0.0,33.333,33.333,0.0,0.0
2018-09-15,province,nl,28.0,0,0,28.0,0,28.0,28.0,0,28.0,0,28.0,5,,0,0,0,,0.0,0.0,0.0,0.0,0.0,17.857,0.0,0.0
2018-09-08,territory,nt,4.0,0,0,4.0,0,4.0,4.0,1,4.0,0,4.0,2,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0
2018-09-08,territory,nu,1.0,0,0,1.0,0,1.0,1.0,0,1.0,0,1.0,1,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2018-09-08,province,nb,70.0,0,0,70.0,0,26.0,26.0,1,26.0,0,26.0,3,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.846,11.538,0.0,0.0
2018-09-08,territory,yk,1.0,0,0,1.0,0,,,0,,0,,0,,0,0,0,,,0.0,,0.0,,,0.0,0.0
2018-09-08,province,ab,330.0,2,0,304.0,0,304.0,304.0,3,304.0,1,304.0,81,304.0,2,13,2,0.658,0.329,0.0,4.276,0.606,0.987,26.645,0.606,0.0
2018-09-08,province,sk,132.0,0,0,132.0,0,132.0,132.0,4,132.0,0,132.0,41,132.0,0,3,0,0.0,0.0,0.0,2.273,0.0,3.03,31.061,0.0,0.0
2018-09-08,province,mb,99.0,0,0,96.0,0,76.0,76.0,2,0.0,0,76.0,13,34.0,0,1,0,0.0,0.0,0.0,1.316,0.0,2.632,17.105,0.0,0.0
2018-09-08,province,ns,11.0,0,0,11.0,0,3.0,3.0,0,3.0,0,3.0,0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-08,province,pe,1.0,0,0,0.0,0,1.0,1.0,0,1.0,0,1.0,1,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2018-09-08,province,nl,19.0,0,0,19.0,0,19.0,19.0,0,19.0,0,19.0,5,,0,0,0,,0.0,0.0,0.0,0.0,0.0,26.316,0.0,0.0
2018-09-01,territory,nu,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,province,nl,22.0,0,0,22.0,0,22.0,22.0,0,22.0,0,22.0,7,,0,0,0,,0.0,0.0,0.0,0.0,0.0,31.818,0.0,0.0
2018-09-01,province,pe,3.0,0,0,0.0,0,3.0,3.0,0,3.0,0,3.0,0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,province,ns,4.0,0,0,4.0,0,1.0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,province,nb,31.0,0,0,31.0,0,31.0,31.0,2,31.0,0,31.0,4,31.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.452,12.903,0.0,0.0
2018-09-01,province,mb,93.0,0,0,92.0,0,73.0,73.0,0,32.0,0,73.0,13,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.808,0.0,0.0
2018-09-01,province,sk,138.0,0,0,138.0,0,138.0,138.0,3,138.0,0,138.0,46,138.0,0,4,0,0.0,0.0,0.0,2.899,0.0,2.174,33.333,0.0,0.0
2018-09-01,province,ab,312.0,5,0,285.0,0,285.0,285.0,3,285.0,2,285.0,86,285.0,2,9,5,0.702,0.702,0.0,3.158,1.603,1.053,30.175,1.603,0.0
2018-09-01,territory,yk,2.0,0,0,2.0,0,,,0,,0,,0,,0,0,0,,,0.0,,0.0,,,0.0,0.0
2018-09-01,territory,nt,6.0,0,0,6.0,0,6.0,6.0,1,6.0,0,6.0,2,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,16.667,33.333,0.0,0.0
