time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2017-08-26,territory,yk,1.0,1,0,1.0,0,,,0,,0,,0,,0,0,1
2017-03-04,province,qc,3941.0,697,43,3146.0,429,730.0,738.0,15,668.0,30,0.0,0,668.0,30,16,740
2017-01-14,province,bc,1450.0,728,10,1450.0,157,262.0,262.0,2,262.0,17,262.0,19,262.0,21,17,738
2017-03-04,province,on,2398.0,395,34,2324.0,280,1680.0,1661.0,28,1703.0,108,1620.0,136,1606.0,151,59,429
2016-09-10,province,bc,107.0,5,2,107.0,0,60.0,60.0,1,60.0,0,60.0,13,60.0,0,2,7
2017-07-08,province,qc,524.0,7,0,511.0,2,393.0,407.0,14,378.0,6,0.0,0,378.0,0,13,7
2016-09-24,province,qc,579.0,7,0,586.0,7,457.0,467.0,11,380.0,1,0.0,0,373.0,3,16,7
2016-12-03,province,bc,418.0,20,1,418.0,33,241.0,241.0,5,241.0,8,241.0,34,241.0,5,14,21
2017-04-08,province,qc,2374.0,163,76,1943.0,138,632.0,602.0,19,501.0,27,0.0,0,501.0,23,43,239
2016-12-03,nation,ca,5547.0,366,7,5048.0,478,3452.0,3499.0,117,3287.0,29,2893.0,387,3114.0,134,137,373
2017-07-29,province,bc,148.0,10,0,148.0,0,97.0,97.0,0,97.0,1,83.0,0,83.0,0,7,10
2017-06-03,province,bc,269.0,8,14,269.0,2,163.0,163.0,8,163.0,7,133.0,36,133.0,4,9,22
2017-07-15,nation,ca,2043.0,13,12,2013.0,7,1648.0,1646.0,43,1563.0,18,994.0,252,1255.0,7,69,25
2017-01-14,province,on,4657.0,1549,12,3996.0,448,3013.0,2998.0,36,3020.0,87,2998.0,157,2947.0,317,84,1561
2017-02-04,province,qc,4048.0,848,14,2967.0,526,781.0,795.0,26,653.0,24,0.0,0,653.0,44,12,862
2017-04-08,province,on,1620.0,104,115,1599.0,90,1161.0,1144.0,27,1161.0,81,1115.0,145,1101.0,105,69,219
2017-03-11,nation,ca,8535.0,1542,203,7739.0,873,3730.0,3730.0,83,3645.0,173,3000.0,285,3382.0,282,156,1745
2016-11-26,province,qc,1275.0,39,4,855.0,62,456.0,476.0,20,389.0,2,0.0,0,382.0,18,18,43
2016-11-12,nation,ca,4267.0,183,11,4105.0,182,3008.0,3037.0,65,2876.0,19,2223.0,491,2478.0,68,97,194
2016-10-29,province,bc,356.0,34,0,356.0,3,179.0,179.0,0,179.0,0,179.0,69,179.0,1,13,34
2016-10-01,province,qc,584.0,3,1,585.0,5,431.0,441.0,8,338.0,0,0.0,0,335.0,0,11,4
2017-02-11,nation,ca,10423.0,2434,81,9218.0,1410,4825.0,4852.0,88,4722.0,136,4059.0,268,4515.0,381,140,2515
2017-06-03,province,qc,779.0,0,13,709.0,9,388.0,390.0,14,337.0,3,0.0,0,336.0,2,19,13
2017-02-11,province,bc,1121.0,407,33,1121.0,119,354.0,354.0,9,354.0,16,354.0,32,354.0,51,20,440
2017-04-15,province,bc,321.0,0,22,321.0,10,209.0,209.0,10,209.0,21,141.0,20,141.0,15,14,22
2017-05-06,province,on,1214.0,40,79,1209.0,42,932.0,917.0,29,903.0,50,917.0,173,903.0,33,65,119
2016-12-10,nation,ca,5932.0,557,12,5440.0,667,3710.0,3720.0,90,3510.0,28,3135.0,410,3429.0,178,147,569
2017-07-08,nation,ca,2016.0,36,21,1980.0,6,1536.0,1544.0,46,1446.0,34,910.0,267,1184.0,5,58,57
2017-06-03,province,on,996.0,9,19,993.0,7,790.0,769.0,28,771.0,30,769.0,188,735.0,14,59,28
2017-07-08,province,bc,193.0,14,1,193.0,0,120.0,120.0,2,120.0,5,101.0,29,101.0,1,7,15
2016-09-17,province,qc,467.0,1,1,485.0,5,379.0,389.0,7,300.0,0,0.0,0,294.0,1,12,2
2017-04-15,nation,ca,5148.0,294,321,4831.0,258,2819.0,2826.0,74,2740.0,196,2191.0,315,2553.0,141,148,615
2016-10-15,province,bc,227.0,24,0,227.0,4,129.0,129.0,1,129.0,0,129.0,23,129.0,0,5,24
2016-12-03,province,qc,1742.0,69,4,1264.0,91,554.0,569.0,29,471.0,0,0.0,0,459.0,37,10,73
2017-03-04,province,bc,993.0,432,48,993.0,84,261.0,261.0,5,261.0,16,261.0,34,261.0,32,17,480
2016-12-03,province,on,1351.0,63,0,1332.0,115,981.0,1013.0,33,1009.0,14,976.0,151,933.0,32,44,63
2017-07-08,province,on,613.0,6,2,609.0,4,437.0,431.0,7,414.0,9,232.0,67,206.0,1,19,8
2016-10-22,province,bc,296.0,26,1,296.0,3,158.0,158.0,0,158.0,0,158.0,65,158.0,1,5,27
2016-11-12,province,bc,343.0,47,2,343.0,5,170.0,170.0,3,170.0,1,170.0,60,170.0,6,4,49
2017-07-15,province,on,630.0,3,2,622.0,4,471.0,457.0,9,458.0,3,273.0,77,213.0,1,21,5
2017-05-27,province,on,1108.0,8,67,1107.0,10,874.0,864.0,23,863.0,36,864.0,216,853.0,27,58,75
2016-11-19,province,qc,1226.0,35,1,897.0,27,454.0,469.0,22,390.0,0,0.0,0,376.0,21,12,36
2016-11-12,province,on,1470.0,43,2,1455.0,47,1144.0,1144.0,17,1123.0,14,850.0,215,824.0,13,44,45
2017-07-22,province,on,477.0,4,0,467.0,0,342.0,332.0,4,321.0,0,217.0,57,203.0,1,18,4
2017-04-01,province,qc,2498.0,219,51,2037.0,203,546.0,553.0,10,474.0,34,0.0,0,473.0,30,27,270
2017-03-11,province,on,1839.0,283,44,1778.0,174,1294.0,1284.0,22,1304.0,70,1248.0,105,1225.0,112,46,327
2017-07-22,province,qc,486.0,2,0,510.0,2,420.0,432.0,13,405.0,0,0.0,0,405.0,1,10,2
2016-09-24,nation,ca,2538.0,41,3,2508.0,31,2094.0,2099.0,33,1947.0,5,1308.0,429,1546.0,21,60,44
2017-04-01,province,on,1473.0,120,96,1450.0,127,1083.0,1075.0,20,1089.0,70,1045.0,90,1035.0,89,51,216
2016-11-19,province,on,1402.0,31,2,1395.0,58,1066.0,1058.0,24,1045.0,8,1059.0,213,1012.0,25,53,33
2017-03-11,province,qc,3729.0,577,47,3005.0,400,684.0,694.0,19,600.0,39,0.0,0,599.0,38,29,624
2017-02-04,province,on,2763.0,664,9,2547.0,363,1791.0,1771.0,34,1808.0,69,1750.0,111,1737.0,119,45,673
2016-09-03,province,qc,431.0,0,0,432.0,0,368.0,367.0,9,282.0,1,0.0,0,273.0,1,5,0
2017-01-21,province,bc,1223.0,479,20,1223.0,149,277.0,277.0,2,277.0,22,277.0,30,277.0,27,21,499
2017-07-29,nation,ca,1710.0,22,3,1683.0,5,1346.0,1348.0,36,1270.0,15,824.0,173,1054.0,4,59,25
2017-05-13,province,bc,251.0,1,10,251.0,2,166.0,166.0,13,166.0,8,131.0,38,131.0,5,16,11
2016-10-29,nation,ca,3458.0,93,2,3326.0,72,2610.0,2620.0,44,2447.0,4,1522.0,364,1699.0,40,104,95
