time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2017-08-26,territory,yk,0.0,100.0
2017-03-04,province,qc,13.64,18.78
2017-01-14,province,bc,10.83,50.9
2017-03-04,province,on,12.05,17.89
2016-09-10,province,bc,0.0,6.54
2017-07-08,province,qc,0.39,1.34
2016-09-24,province,qc,1.19,1.21
2016-12-03,province,bc,7.89,5.02
2017-04-08,province,qc,7.1,10.07
2016-12-03,nation,ca,9.47,6.73
2017-07-29,province,bc,0.0,6.76
2017-06-03,province,bc,0.74,8.17
2017-07-15,nation,ca,0.35,1.23
2017-01-14,province,on,11.21,33.52
2017-02-04,province,qc,17.73,21.3
2017-04-08,province,on,5.63,13.52
2017-03-11,nation,ca,11.28,20.45
2016-11-26,province,qc,7.25,3.37
2016-11-12,nation,ca,4.43,4.55
2016-10-29,province,bc,0.84,9.55
2016-10-01,province,qc,0.85,0.68
2017-02-11,nation,ca,15.3,24.13
2017-06-03,province,qc,1.27,1.67
2017-02-11,province,bc,10.62,39.25
2017-04-15,province,bc,3.12,6.85
2017-05-06,province,on,3.47,9.8
2016-12-10,nation,ca,12.26,9.59
2017-07-08,nation,ca,0.3,2.83
2017-06-03,province,on,0.7,2.81
2017-07-08,province,bc,0.0,7.77
2016-09-17,province,qc,1.03,0.42
2017-04-15,nation,ca,5.34,11.95
2016-10-15,province,bc,1.76,10.57
2016-12-03,province,qc,7.2,4.19
2017-03-04,province,bc,8.46,48.33
2016-12-03,province,on,8.63,4.66
2017-07-08,province,on,0.66,1.31
2016-10-22,province,bc,1.01,9.12
2016-11-12,province,bc,1.46,14.28
2017-07-15,province,on,0.64,0.8
2017-05-27,province,on,0.9,6.77
2016-11-19,province,qc,3.01,2.93
2016-11-12,province,on,3.23,3.07
2017-07-22,province,on,0.0,0.84
2017-04-01,province,qc,9.97,10.81
2017-03-11,province,on,9.79,17.78
2017-07-22,province,qc,0.39,0.41
2016-09-24,nation,ca,1.24,1.74
2017-04-01,province,on,8.76,14.67
2016-11-19,province,on,4.16,2.35
2017-03-11,province,qc,13.31,16.73
2017-02-04,province,on,14.25,24.36
2016-09-03,province,qc,0.0,0.0
2017-01-21,province,bc,12.18,40.81
2017-07-29,nation,ca,0.3,1.47
2017-05-13,province,bc,0.8,4.38
2016-10-29,nation,ca,2.16,2.75
2016-10-08,nation,ca,1.39,1.88
2017-06-03,nation,ca,0.86,4.14
2017-07-22,province,bc,0.0,1.15
2017-01-14,province,qc,14.58,17.37
2017-04-08,province,bc,4.51,11.59
2016-11-26,province,on,9.18,3.14
2017-05-06,province,qc,3.25,8.21
2016-09-10,nation,ca,1.09,1.1
2017-07-15,province,qc,0.37,1.1
2017-04-08,nation,ca,6.31,12.66
2016-10-15,nation,ca,1.74,1.46
2016-11-26,province,bc,4.76,10.05
2017-03-11,province,bc,6.9,48.83
2017-05-27,province,qc,1.41,2.79
2017-01-21,nation,ca,15.56,23.25
2017-07-22,nation,ca,0.11,1.49
2017-05-13,nation,ca,2.44,8.36
2016-11-26,nation,ca,8.69,5.37
2016-09-10,province,on,1.24,0.83
2017-03-04,nation,ca,12.28,21.73
2017-04-15,province,on,4.88,10.78
2017-01-07,nation,ca,15.62,24.1
2017-04-22,province,qc,4.49,10.27
2017-06-10,province,qc,1.15,1.56
2016-12-24,province,on,14.15,16.1
2017-06-24,nation,ca,0.42,1.86
2016-09-03,nation,ca,1.34,0.11
2016-10-01,province,bc,1.93,8.11
2016-10-01,nation,ca,1.29,2.28
2017-02-18,province,qc,16.48,25.06
2017-01-07,province,bc,17.08,40.69
2016-09-17,nation,ca,1.37,1.09
2017-02-11,province,qc,17.97,24.11
2016-12-24,province,bc,16.01,24.7
2017-06-10,province,on,0.67,2.35
2017-06-24,province,bc,0.0,2.35
2017-04-22,province,on,4.06,12.44
2016-11-05,nation,ca,3.35,3.57
2017-06-17,province,qc,1.94,0.93
2017-02-25,nation,ca,13.43,24.03
2017-02-18,province,on,14.72,23.09
2016-10-29,province,qc,0.77,1.37
2016-12-31,province,on,15.62,27.42
2017-02-18,province,bc,8.76,43.25
2017-04-29,province,bc,1.69,6.27
2017-04-29,province,on,3.76,10.43
2016-09-17,province,bc,0.7,2.1
2016-12-31,province,qc,14.11,19.77
2016-12-31,province,bc,18.73,35.21
