time_value,geo_type,geo_value,sarscov2_pct_positive,rsv_pct_positive,flu_pct_positive
2025-12-06,nation,ca,5.75,2.05,20.15
2025-12-06,province,sk,5.53,2.72,30.69
2025-12-06,province,nl,3.09,1.01,3.36
2025-12-06,province,pe,3.01,3.1,12.4
2025-12-06,province,ns,5.85,1.07,6.11
2025-12-06,province,nb,5.93,1.58,27.48
2025-12-06,region,atlantic,5.45,1.4,16.54
2025-12-06,province,on,5.16,2.09,24.26
2025-12-06,province,mb,3.24,0.49,14.47
2025-12-06,province,qc,7.8,1.64,16.03
2025-12-06,province,ab,4.65,2.34,26.45
2025-12-06,region,prairies,4.55,2.06,25.12
2025-12-06,province,bc,3.78,3.48,14.05
2025-12-06,territory,yt,1.96,0.0,16.28
2025-12-06,territory,nt,3.77,0.0,41.51
2025-12-06,territory,nu,3.77,0.0,11.65
2025-12-06,region,territories,3.33,0.0,20.6
2025-11-29,province,sk,6.77,2.6,19.31
2025-11-29,province,nl,4.37,1.16,1.74
2025-11-29,province,pe,5.83,0.0,5.94
2025-11-29,province,ns,9.2,1.09,4.08
2025-11-29,province,nb,5.71,0.66,23.68
2025-11-29,region,atlantic,6.94,0.88,11.81
2025-11-29,province,on,6.25,1.64,16.29
2025-11-29,province,mb,3.21,0.24,12.89
2025-11-29,province,qc,8.05,1.83,9.73
2025-11-29,province,ab,5.89,2.41,16.3
2025-11-29,territory,nt,6.76,0.0,43.24
2025-11-29,region,territories,5.03,0.0,20.12
2025-11-29,territory,nu,3.75,0.0,0.0
2025-11-29,nation,ca,6.56,1.83,12.95
2025-11-29,territory,yt,4.0,0.0,10.0
2025-11-29,province,bc,3.85,2.84,7.57
2025-11-29,region,prairies,5.56,2.03,16.27
2025-11-22,province,nl,4.55,2.44,0.61
2025-11-22,province,sk,5.5,1.09,12.76
2025-11-22,province,pe,7.52,1.64,7.38
2025-11-22,province,ns,5.65,1.53,1.24
2025-11-22,province,nb,6.23,0.97,16.71
2025-11-22,region,atlantic,5.85,1.42,7.79
2025-11-22,province,qc,7.76,1.26,5.49
2025-11-22,province,on,6.05,1.58,8.79
2025-11-22,province,mb,4.37,0.0,8.23
2025-11-22,province,ab,4.49,1.46,13.8
2025-11-22,region,prairies,4.64,1.1,12.53
2025-11-22,province,bc,4.67,2.28,4.8
2025-11-22,territory,yt,2.22,0.0,0.0
2025-11-22,territory,nt,8.16,0.0,26.53
2025-11-22,territory,nu,0.0,0.0,0.0
2025-11-22,region,territories,2.87,0.0,8.02
2025-11-22,nation,ca,6.12,1.44,8.07
2025-11-15,province,sk,5.49,1.27,6.84
2025-11-15,province,nl,8.4,0.64,0.96
2025-11-15,province,pe,3.79,0.0,5.22
2025-11-15,province,ns,6.07,0.81,0.54
2025-11-15,province,nb,7.26,0.41,13.42
2025-11-15,region,atlantic,6.73,0.6,5.77
2025-11-15,province,on,5.42,1.2,5.03
2025-11-15,province,mb,4.82,0.0,4.98
2025-11-15,province,qc,7.44,0.84,3.49
2025-11-15,province,ab,5.66,1.48,10.75
2025-11-15,territory,nt,0.0,0.0,14.29
2025-11-15,nation,ca,6.38,1.1,5.5
2025-11-15,region,territories,4.38,0.0,2.59
2025-11-15,territory,nu,3.66,0.0,0.0
2025-11-15,region,prairies,5.5,1.19,9.08
2025-11-15,territory,yt,8.82,0.0,0.0
2025-11-15,province,bc,6.67,2.05,4.08
2025-11-08,province,ab,5.22,1.03,6.54
2025-11-08,province,nl,8.5,1.32,0.0
2025-11-08,province,pe,9.57,2.08,2.08
2025-11-08,province,ns,7.65,1.19,0.76
2025-11-08,province,nb,9.69,0.49,5.13
