time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2016-08-27,territory,yk,0.0,0.0
2016-01-02,province,bc,2.9,13.76
2016-04-23,region,atlantic,10.95,20.35
2015-10-03,province,bc,0.0,9.09
2016-01-02,nation,ca,9.54,4.28
2016-03-19,nation,ca,6.29,31.41
2016-03-12,region,territories,3.66,51.22
2015-11-28,province,bc,0.0,5.94
2016-06-25,region,territories,13.04,4.35
2015-11-14,nation,ca,1.29,1.4
2016-05-21,region,territories,7.69,23.08
2016-06-25,region,prairies,4.49,0.46
2015-09-12,nation,ca,0.41,1.21
2015-10-03,province,on,0.28,2.96
2016-08-06,province,on,0.41,0.83
2016-01-02,region,atlantic,1.67,3.27
2016-03-12,region,prairies,5.25,37.27
2016-01-02,province,on,9.17,2.86
2016-08-06,province,qc,1.29,0.5
2016-06-25,region,atlantic,3.75,3.85
2015-10-03,province,qc,2.14,0.38
2016-04-23,region,prairies,10.15,14.05
2015-11-07,region,territories,0.0,0.0
2016-03-12,region,atlantic,7.56,36.73
2016-05-28,nation,ca,4.1,6.01
2016-03-12,province,qc,8.49,32.41
2016-01-02,province,qc,15.37,2.07
2015-12-05,region,atlantic,0.0,0.0
2015-12-26,region,territories,0.0,5.0
2016-05-07,province,qc,3.75,19.83
2016-07-02,nation,ca,2.06,0.69
2015-12-05,region,prairies,0.78,1.1
2016-03-26,nation,ca,6.46,30.03
2016-06-04,region,atlantic,16.67,2.85
2015-11-14,province,qc,3.54,0.87
2016-03-19,region,territories,2.13,48.94
2016-07-02,province,qc,1.76,1.28
2015-09-26,region,prairies,0.16,0.72
2015-12-26,province,qc,13.79,1.33
2016-03-19,region,prairies,5.2,33.41
2016-07-02,province,on,0.67,0.0
2015-09-12,province,bc,0.0,11.11
2015-09-26,region,territories,9.09,0.0
2015-11-14,province,on,0.46,1.46
2016-05-21,region,prairies,8.71,5.16
2016-08-06,nation,ca,1.42,0.57
2016-03-19,region,atlantic,8.83,29.18
2016-03-19,province,qc,6.51,29.02
