time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2015-12-19,nation,ca,4017.0,79,16,3541.0,240,2520.0,2527.0,79,2338.0,54,1343.0,186,1622.0,25,150,95
2016-02-06,province,qc,1826.0,193,17,1490.0,286,522.0,528.0,17,454.0,10,0.0,0,443.0,13,9,210
2016-07-30,province,qc,427.0,0,0,414.0,3,363.0,374.0,5,280.0,0,0.0,0,272.0,2,18,0
2016-03-26,province,bc,523.0,148,51,523.0,32,158.0,158.0,3,158.0,13,158.0,25,158.0,15,4,199
2016-05-07,province,bc,272.0,4,12,272.0,10,132.0,132.0,3,132.0,4,132.0,27,132.0,6,4,16
2016-05-07,nation,ca,5167.0,146,527,4545.0,221,2915.0,2836.0,52,2514.0,79,1497.0,274,1725.0,69,93,673
2015-12-12,province,qc,1170.0,7,2,982.0,114,513.0,526.0,31,411.0,2,0.0,0,398.0,6,10,9
2015-10-17,province,bc,222.0,8,0,222.0,1,79.0,79.0,0,79.0,0,79.0,36,79.0,0,1,8
2016-07-30,province,on,373.0,3,1,373.0,5,373.0,373.0,8,355.0,3,181.0,29,157.0,6,38,4
2015-09-05,province,qc,360.0,2,1,363.0,6,297.0,320.0,0,220.0,1,0.0,0,216.0,0,7,3
2016-07-02,province,bc,216.0,6,0,216.0,2,147.0,147.0,5,147.0,0,147.0,38,147.0,7,18,6
2016-02-13,nation,ca,8324.0,1752,315,7226.0,846,4493.0,4491.0,56,4261.0,226,2728.0,168,3016.0,105,92,2067
2016-02-13,province,bc,690.0,131,128,690.0,38,172.0,172.0,1,172.0,18,172.0,14,172.0,9,2,259
2016-04-30,province,qc,2304.0,92,364,1706.0,72,572.0,588.0,13,455.0,33,0.0,0,456.0,15,12,456
2015-10-24,province,qc,679.0,2,0,638.0,10,453.0,466.0,14,365.0,0,0.0,0,357.0,1,19,2
2015-12-05,nation,ca,3569.0,27,3,3211.0,100,2425.0,2347.0,71,2265.0,33,1280.0,214,1462.0,22,149,30
2016-02-27,province,bc,566.0,133,77,566.0,32,131.0,131.0,1,131.0,6,131.0,13,131.0,8,1,210
2016-04-16,province,qc,2783.0,253,375,2084.0,93,560.0,578.0,21,449.0,32,0.0,0,437.0,6,5,628
2016-03-12,province,bc,668.0,203,68,668.0,47,184.0,184.0,2,184.0,12,184.0,33,184.0,13,1,271
2016-07-09,province,on,469.0,4,0,464.0,7,417.0,416.0,3,403.0,11,206.0,41,188.0,3,33,4
2016-03-12,province,on,3781.0,1185,260,3091.0,214,2242.0,2223.0,23,2240.0,70,595.0,28,477.0,42,25,1445
2016-04-02,province,qc,3614.0,574,427,2588.0,174,680.0,690.0,20,509.0,19,0.0,0,512.0,13,5,1001
2016-04-02,province,on,2837.0,424,254,2447.0,98,1811.0,1793.0,15,1742.0,43,574.0,20,277.0,25,23,678
2015-11-07,province,bc,210.0,20,1,210.0,1,83.0,83.0,3,83.0,1,83.0,23,83.0,0,0,21
2015-11-21,province,bc,321.0,24,0,321.0,0,121.0,121.0,2,121.0,2,121.0,29,121.0,2,1,24
2016-03-12,province,qc,4761.0,1351,192,3098.0,263,777.0,792.0,26,593.0,27,0.0,0,587.0,19,5,1543
2016-07-09,province,qc,388.0,3,0,370.0,3,321.0,325.0,9,255.0,3,0.0,0,245.0,1,17,3
2016-04-02,province,bc,571.0,172,36,571.0,38,32.0,32.0,1,32.0,5,32.0,13,32.0,11,2,208
2015-11-21,nation,ca,3521.0,50,3,3126.0,43,2376.0,2390.0,66,2226.0,23,1300.0,296,1508.0,7,136,53
2016-03-19,nation,ca,12714.0,3086,908,10329.0,650,5687.0,5696.0,70,5615.0,241,3203.0,229,3451.0,150,88,3993
2015-11-07,province,on,1213.0,7,0,1067.0,6,963.0,952.0,15,932.0,1,417.0,63,260.0,3,48,7
2016-07-16,province,on,628.0,5,1,627.0,10,467.0,452.0,11,449.0,6,185.0,38,160.0,6,60,6
2016-03-19,province,bc,570.0,113,50,570.0,44,187.0,187.0,4,187.0,19,187.0,28,187.0,21,1,163
2015-09-19,province,qc,395.0,0,0,419.0,3,314.0,346.0,14,259.0,1,0.0,0,255.0,1,13,0
2016-04-02,nation,ca,9989.0,1807,1015,8416.0,543,4590.0,4582.0,63,4282.0,169,2604.0,250,2622.0,119,68,2822
2016-03-26,province,qc,3813.0,823,293,2583.0,179,669.0,688.0,24,543.0,29,0.0,0,534.0,12,7,1116
2015-11-14,province,qc,926.0,6,2,792.0,28,530.0,536.0,20,409.0,3,0.0,0,397.0,1,25,8
2016-03-19,province,on,3831.0,971,312,3005.0,186,2178.0,2159.0,16,2375.0,61,548.0,19,411.0,37,30,1283
2015-11-07,province,qc,871.0,4,1,715.0,14,430.0,457.0,23,334.0,0,0.0,0,327.0,5,14,5
2016-07-16,province,bc,125.0,0,0,125.0,3,66.0,66.0,3,66.0,0,66.0,14,66.0,2,10,0
2015-09-12,province,on,445.0,1,0,433.0,3,313.0,296.0,4,293.0,3,160.0,25,85.0,0,5,1
2015-11-14,province,on,1093.0,13,3,1092.0,5,915.0,898.0,17,944.0,1,348.0,81,301.0,3,46,16
2016-03-19,province,qc,4600.0,1112,223,3070.0,200,778.0,804.0,18,623.0,22,0.0,0,602.0,13,21,1335
2016-03-26,province,on,3121.0,595,291,2756.0,141,1982.0,1978.0,31,1934.0,53,548.0,32,371.0,35,17,886
2016-03-26,nation,ca,10431.0,2181,951,8797.0,568,4939.0,4954.0,96,4674.0,196,2751.0,247,2938.0,142,62,3132
2015-11-14,nation,ca,3230.0,38,7,3013.0,39,2363.0,2352.0,58,2226.0,27,1252.0,289,1544.0,9,128,45
2016-07-16,nation,ca,1850.0,7,3,1823.0,27,1491.0,1491.0,45,1352.0,6,802.0,177,1023.0,12,125,10
2015-11-21,province,on,1129.0,13,0,1064.0,8,857.0,856.0,26,869.0,0,257.0,49,210.0,1,43,13
2015-09-12,province,bc,90.0,10,0,90.0,0,36.0,36.0,1,36.0,0,36.0,18,36.0,0,0,10
2015-11-07,nation,ca,3330.0,36,4,2906.0,24,2371.0,2392.0,69,2183.0,11,1376.0,291,1451.0,9,114,40
2016-07-23,province,bc,137.0,6,0,137.0,2,99.0,99.0,1,99.0,0,99.0,21,99.0,0,3,6
2016-02-27,province,on,3388.0,984,149,2825.0,247,2061.0,2055.0,17,2067.0,55,480.0,29,421.0,47,19,1133
2016-04-16,province,on,2042.0,148,218,1829.0,74,1414.0,1403.0,20,1403.0,37,448.0,41,344.0,19,23,366
2015-10-31,nation,ca,3084.0,21,5,2911.0,16,2430.0,2477.0,52,2137.0,13,1318.0,299,1457.0,4,89,26
2015-11-28,province,qc,1105.0,12,1,864.0,42,487.0,502.0,27,429.0,1,0.0,0,420.0,2,24,13
2016-02-27,province,qc,4053.0,1125,100,2837.0,301,839.0,855.0,20,683.0,29,0.0,0,676.0,12,1,1225
2016-04-16,province,bc,394.0,79,20,394.0,23,232.0,232.0,0,232.0,12,232.0,24,232.0,5,5,99
2015-10-31,province,bc,212.0,10,2,212.0,0,69.0,69.0,0,69.0,1,69.0,14,69.0,3,1,12
2015-11-28,province,on,1241.0,6,2,1222.0,11,999.0,991.0,21,1018.0,4,365.0,92,340.0,2,44,8
2016-03-05,nation,ca,12232.0,3584,609,9636.0,731,5837.0,5842.0,78,5649.0,275,3493.0,200,3808.0,194,91,4193
2016-04-16,nation,ca,7302.0,754,760,6389.0,372,3607.0,3618.0,77,3360.0,128,1966.0,261,2192.0,76,71,1514
2016-04-09,province,qc,3317.0,404,376,2397.0,129,680.0,703.0,14,536.0,24,0.0,0,531.0,12,11,780
2015-11-28,province,bc,286.0,16,1,234.0,0,142.0,142.0,0,142.0,0,142.0,14,142.0,0,9,17
2015-09-12,province,qc,395.0,2,0,407.0,1,338.0,353.0,15,256.0,4,0.0,0,248.0,1,8,2
2016-03-05,province,bc,712.0,169,70,712.0,44,356.0,356.0,5,356.0,34,356.0,51,356.0,34,2,239
2016-04-09,nation,ca,8830.0,1214,831,7626.0,462,4242.0,4253.0,75,3965.0,164,2281.0,279,2583.0,122,71,2045
2015-10-31,province,on,1203.0,5,1,1202.0,7,1075.0,1064.0,11,930.0,1,467.0,82,299.0,0,45,6
2016-07-09,nation,ca,1760.0,11,1,1733.0,32,1398.0,1401.0,26,1262.0,19,852.0,184,1006.0,13,117,12
2016-03-05,province,on,3398.0,1008,210,2859.0,227,2097.0,2088.0,14,2094.0,59,542.0,27,421.0,38,22,1218
2016-07-23,nation,ca,1773.0,16,2,1719.0,22,1477.0,1458.0,26,1361.0,9,854.0,183,1063.0,14,97,18
2015-11-28,nation,ca,3609.0,45,7,3183.0,57,2464.0,2478.0,73,2312.0,20,1315.0,274,1631.0,6,148,52
2016-04-09,province,on,2333.0,238,216,2081.0,104,1605.0,1589.0,17,1601.0,39,447.0,45,360.0,23,20,454
2016-03-05,province,qc,4582.0,1361,112,2922.0,275,782.0,789.0,17,626.0,27,0.0,0,626.0,23,6,1473
2015-10-31,province,qc,723.0,1,0,648.0,7,471.0,489.0,21,382.0,0,0.0,0,376.0,1,16,1
2016-07-09,province,bc,260.0,1,0,260.0,6,73.0,73.0,1,73.0,0,73.0,16,73.0,1,8,1
2015-11-21,province,qc,985.0,3,2,767.0,31,451.0,464.0,10,345.0,1,0.0,0,336.0,1,21,5
2016-03-12,nation,ca,12933.0,3835,820,10520.0,728,5790.0,5786.0,87,5529.0,243,3304.0,223,3576.0,153,69,4655
2016-04-09,province,bc,545.0,172,29,545.0,28,86.0,86.0,2,86.0,8,86.0,26,86.0,15,4,201
2016-07-16,province,qc,466.0,2,0,457.0,0,382.0,397.0,7,316.0,0,0.0,0,305.0,2,13,2
2015-10-10,province,on,792.0,23,1,802.0,1,802.0,802.0,10,780.0,1,408.0,149,301.0,5,21,24
2015-11-14,province,bc,252.0,9,0,252.0,2,69.0,69.0,1,69.0,0,69.0,14,69.0,0,1,9
2015-12-19,province,qc,1437.0,15,1,1103.0,150,534.0,547.0,22,414.0,7,0.0,0,401.0,2,15,16
2015-09-26,province,bc,128.0,20,0,128.0,0,64.0,64.0,0,64.0,0,64.0,24,64.0,0,2,20
2016-08-20,province,qc,481.0,2,0,495.0,5,442.0,463.0,7,334.0,1,0.0,0,327.0,2,9,2
2016-06-11,province,bc,146.0,5,1,146.0,2,57.0,57.0,2,57.0,4,57.0,1,57.0,2,7,6
2016-08-20,province,on,536.0,2,1,536.0,4,378.0,391.0,5,391.0,0,207.0,34,200.0,0,24,3
2016-06-11,nation,ca,2512.0,22,33,2367.0,80,1752.0,1776.0,30,1584.0,39,1003.0,219,1183.0,22,105,55
2016-06-04,province,qc,1008.0,6,49,873.0,14,473.0,485.0,12,372.0,16,0.0,0,355.0,3,27,55
2015-09-26,province,on,647.0,2,0,624.0,2,525.0,514.0,4,507.0,0,229.0,54,141.0,0,11,2
2016-08-20,province,bc,167.0,4,0,167.0,0,101.0,101.0,0,101.0,0,101.0,16,101.0,0,9,4
2016-06-04,province,on,817.0,15,24,855.0,20,673.0,662.0,14,667.0,19,231.0,35,192.0,14,34,39
2015-09-05,province,bc,79.0,2,1,79.0,0,39.0,39.0,0,39.0,0,39.0,19,39.0,0,4,3
2016-06-04,province,bc,202.0,0,2,202.0,7,94.0,94.0,1,94.0,1,94.0,24,94.0,2,3,2
2015-09-26,province,qc,419.0,2,0,410.0,5,321.0,337.0,3,244.0,0,0.0,0,233.0,1,13,2
2016-01-16,province,on,1620.0,65,5,1497.0,161,1187.0,1171.0,26,1189.0,18,505.0,50,467.0,32,34,70
2016-06-04,nation,ca,2868.0,23,97,2770.0,103,2019.0,2020.0,45,1849.0,45,1052.0,201,1263.0,26,120,120
2016-01-02,province,qc,1637.0,31,3,1321.0,203,509.0,529.0,19,409.0,4,0.0,0,400.0,8,12,34
2015-09-19,province,on,585.0,1,1,600.0,3,502.0,493.0,2,480.0,3,231.0,50,145.0,1,9,2
2016-05-28,province,qc,1221.0,11,86,1026.0,17,401.0,419.0,9,308.0,8,0.0,0,300.0,8,19,97
2015-10-03,nation,ca,2365.0,53,6,2197.0,14,1830.0,1834.0,19,1692.0,3,1104.0,385,1221.0,8,48,59
2016-01-02,province,on,1332.0,33,5,1178.0,108,870.0,864.0,24,862.0,12,310.0,43,282.0,12,24,38
2016-01-23,nation,ca,5270.0,481,164,4753.0,515,3227.0,3241.0,68,3037.0,169,2065.0,141,2330.0,101,105,645
2016-06-25,nation,ca,1996.0,13,11,1959.0,57,1497.0,1504.0,27,1355.0,12,867.0,179,1032.0,16,113,24
2016-08-20,nation,ca,1769.0,12,1,1782.0,35,1492.0,1526.0,27,1342.0,1,860.0,163,1112.0,8,56,13
2016-05-28,province,on,970.0,9,40,861.0,15,611.0,604.0,8,606.0,25,220.0,31,186.0,4,34,49
2015-10-03,province,bc,198.0,18,0,198.0,0,80.0,80.0,0,80.0,0,80.0,27,80.0,0,2,18
2016-01-02,province,bc,276.0,15,23,276.0,8,110.0,110.0,0,110.0,10,110.0,20,110.0,3,1,38
2016-01-23,province,bc,511.0,98,98,511.0,25,254.0,254.0,0,254.0,19,254.0,14,254.0,7,2,196
2016-08-13,province,qc,383.0,1,0,366.0,5,316.0,344.0,9,257.0,0,0.0,0,249.0,1,13,1
2016-05-28,province,bc,144.0,2,2,144.0,5,26.0,26.0,1,26.0,0,26.0,7,26.0,1,3,4
2016-06-18,province,qc,657.0,1,5,593.0,3,385.0,399.0,8,307.0,7,0.0,0,298.0,0,23,6
2016-06-11,province,on,752.0,6,6,729.0,11,549.0,549.0,7,546.0,17,237.0,63,215.0,4,42,12
2016-08-13,province,on,468.0,1,0,466.0,5,348.0,342.0,6,333.0,1,176.0,18,157.0,5,26,1
2016-08-27,nation,ca,1614.0,13,2,1596.0,26,1347.0,1369.0,16,1212.0,5,833.0,156,918.0,8,51,15
2016-06-18,province,bc,141.0,3,0,141.0,5,55.0,55.0,3,55.0,0,55.0,29,55.0,0,5,3
2016-01-09,province,on,1691.0,66,5,1596.0,175,1201.0,1270.0,38,1205.0,19,461.0,56,432.0,40,41,71
2016-01-09,province,qc,1833.0,24,1,1538.0,220,616.0,632.0,24,499.0,9,0.0,0,485.0,12,15,25
2016-06-18,nation,ca,2306.0,7,18,2234.0,72,1721.0,1738.0,34,1568.0,29,945.0,210,1138.0,10,138,25
2016-06-18,province,on,749.0,2,6,744.0,12,586.0,574.0,7,575.0,11,233.0,38,201.0,4,45,8
2016-01-16,nation,ca,5315.0,290,85,4689.0,450,3108.0,3117.0,67,2963.0,141,1896.0,181,2181.0,65,128,375
2015-09-26,nation,ca,1987.0,29,0,1879.0,9,1623.0,1628.0,18,1484.0,2,993.0,331,1059.0,2,42,29
2016-01-09,province,bc,441.0,45,42,441.0,28,169.0,169.0,0,169.0,13,169.0,22,169.0,3,3,87
2016-01-16,province,bc,446.0,65,50,446.0,11,181.0,181.0,0,181.0,20,181.0,23,181.0,6,11,115
2016-06-11,province,qc,762.0,4,16,662.0,7,380.0,399.0,4,304.0,6,0.0,0,295.0,8,19,20
2016-01-09,nation,ca,5371.0,246,68,4849.0,465,3207.0,3292.0,88,3059.0,136,1834.0,193,2213.0,78,163,314
2016-08-27,territory,nu,13.0,0,0,13.0,6,13.0,13.0,0,13.0,0,2.0,0,2.0,0,0,0
2016-08-27,territory,nt,4.0,0,0,4.0,0,4.0,4.0,0,4.0,0,4.0,2,4.0,0,0,0
2016-08-27,province,sk,178.0,0,0,178.0,8,178.0,178.0,6,178.0,1,178.0,55,133.0,4,5,0
2016-08-27,province,qc,358.0,0,0,364.0,1,316.0,324.0,4,236.0,0,0.0,0,231.0,1,11,0
