time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2016-08-27,territory,yk,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0
2016-02-13,province,on,2456.0,476.95520000000005,63.11919999999999,2215.0,390.0615,1519.0,1510.0,22.951999999999998,1537.0,25.975299999999997,443.0,17.0112,360.0,29.988,24.000200000000003,540.0744000000001,8.33,1.69,17.61,1.58,21.990000000000006,1.52,3.84,19.42,2.57
2016-04-30,province,bc,231.0,26.010599999999997,10.9956,231.0,13.998599999999998,79.0,79.0,1.9987,79.0,5.000699999999999,79.0,27.0022,79.0,3.9974,0.0,37.00619999999999,5.06,6.33,6.06,0.0,16.02,2.53,34.18,11.26,4.76
2015-12-12,province,bc,266.0,13.0074,1.9949999999999999,266.0,3.0058,135.0,135.0,1.998,135.0,7.0065,135.0,22.005000000000003,135.0,1.998,1.998,15.0024,1.48,5.19,1.13,1.48,5.64,1.48,16.3,4.89,0.75
2016-02-13,province,qc,2595.0,411.04799999999994,24.912,1958.0,306.0354,639.0,645.0,15.028500000000001,510.0,8.976,0.0,0.0,497.0,16.0034,7.987500000000001,435.9599999999999,3.22,1.76,15.63,1.25,16.799999999999997,2.33,0.0,15.84,0.96
2015-10-17,province,qc,660.0,4.026,0.0,633.0,10.0014,446.0,462.0,13.998599999999998,355.0,0.9940000000000001,0.0,0.0,352.0,0.0,28.008800000000004,4.026,0.0,0.28,1.58,6.28,0.61,3.03,0.0,0.61,0.0
2015-09-19,nation,ca,1778.0,14.0462,1.0668,1752.0,8.0592,1488.0,1511.0,25.9892,1379.0,10.0667,897.0,296.01,1010.0,3.0300000000000002,29.016,15.113000000000001,0.3,0.73,0.46,1.95,0.8500000000000001,1.72,33.0,0.79,0.06
2015-12-12,nation,ca,3836.0,54.8548,8.0556,3480.0,187.92000000000002,2557.0,2476.0,75.02279999999999,2377.0,54.908699999999996,1336.0,218.0352,1608.0,27.9792,142.9363,62.910399999999996,1.74,2.31,5.4,5.59,1.6399999999999997,3.03,16.32,1.43,0.21
2016-02-20,nation,ca,8653.0,2095.7566,387.65440000000007,7440.0,667.368,4457.0,4462.0,58.00600000000001,4245.0,256.8225,2813.0,169.0613,3215.0,139.8525,82.90020000000001,2483.411,4.35,6.05,8.97,1.86,28.700000000000003,1.3,6.01,24.22,4.48
2016-04-30,nation,ca,5330.0,272.896,649.194,4477.0,259.2183,2805.0,2772.0,49.89600000000001,2498.0,116.90639999999999,1509.0,253.05929999999998,1824.0,74.96640000000001,58.0635,922.0899999999999,4.11,4.68,5.79,2.07,17.299999999999997,1.8,16.77,5.12,12.18
2015-10-24,nation,ca,2972.0,22.8844,2.972,2843.0,17.9109,2350.0,2375.0,38.949999999999996,2196.0,7.9056,1408.0,369.03679999999997,1559.0,7.950900000000001,87.89,25.8564,0.51,0.36,0.63,3.74,0.8699999999999999,1.64,26.21,0.77,0.1
2016-07-30,province,bc,147.0,1.9992,0.0,147.0,1.9992,85.0,85.0,1.9975,85.0,1.003,85.0,18.9975,85.0,1.003,7.0040000000000004,1.9992,1.18,1.18,1.36,8.24,1.36,2.35,22.35,1.36,0.0
2015-12-05,province,qc,1083.0,4.9818,0.9747,872.0,57.0288,492.0,503.0,22.9871,385.0,3.003,0.0,0.0,372.0,4.9848,17.0232,5.9565,1.34,0.78,6.54,3.46,0.55,4.57,0.0,0.46,0.09
2016-02-20,province,bc,649.0,151.9958,120.9736,649.0,44.0022,89.0,89.0,2.0025,89.0,22.000799999999998,89.0,11.9972,89.0,13.0029,2.0025,272.9694,14.61,24.72,6.78,2.25,42.06,2.25,13.48,23.42,18.64
2016-04-23,province,qc,2595.0,176.97899999999998,388.9905,1921.0,92.0159,578.0,592.0,12.0176,431.0,19.9984,0.0,0.0,420.0,6.006,6.0112,565.9694999999999,1.43,4.64,4.79,1.04,21.809999999999995,2.03,0.0,6.82,14.99
2015-10-24,province,bc,222.0,8.991,0.9990000000000001,222.0,0.0,84.0,84.0,0.9995999999999999,84.0,0.0,84.0,41.000400000000006,84.0,0.0,0.9995999999999999,9.99,0.0,0.0,0.0,1.19,4.5,1.19,48.81,4.05,0.45
2016-07-30,nation,ca,1515.0,6.0600000000000005,1.0605000000000002,1482.0,29.0472,1352.0,1350.0,27.945,1213.0,4.0029,783.0,159.9669,976.0,12.9808,98.02,7.120500000000001,1.33,0.33,1.96,7.25,0.47000000000000003,2.07,20.43,0.4,0.07
2016-07-02,province,on,599.0,0.0,0.0,597.0,3.9999000000000002,453.0,440.0,9.02,445.0,2.9815,182.0,37.0006,165.0,3.003,48.018,0.0,1.82,0.67,0.67,10.6,0.0,2.05,20.33,0.0,0.0
2016-02-20,province,on,2181.0,434.01899999999995,90.9477,1856.0,198.9632,1258.0,1228.0,12.0344,1277.0,26.944699999999997,426.0,18.9996,371.0,25.0054,16.983,524.9667,6.74,2.11,10.72,1.35,24.069999999999997,0.98,4.46,19.9,4.17
2015-12-05,province,on,1221.0,8.0586,0.9768,1162.0,34.9762,922.0,833.0,27.988799999999998,940.0,4.042,307.0,50.010299999999994,200.0,7.000000000000001,48.0362,9.035400000000001,3.5,0.43,3.01,5.21,0.7400000000000001,3.36,16.29,0.66,0.08
2016-04-23,province,on,1706.0,114.98440000000001,179.983,1539.0,54.0189,1144.0,1130.0,15.029000000000002,1138.0,35.0504,393.0,49.9896,315.0,38.997,25.9688,294.9674,12.38,3.08,3.51,2.27,17.29,1.33,12.72,6.74,10.55
2016-02-20,province,qc,3014.0,669.1080000000001,31.0442,2363.0,294.9024,772.0,807.0,17.0277,653.0,22.9856,0.0,0.0,626.0,27.9822,4.0144,700.1522000000001,4.47,3.52,12.48,0.52,23.230000000000004,2.11,0.0,22.2,1.03
