time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2021-03-13,province,qc,0.57,0.0
2021-08-28,province,bc,0.37,0.0
2020-08-29,province,on,0.0,0.23
2021-04-17,province,bc,0.0,0.0
2021-02-13,province,qc,0.0,0.0
2021-08-28,province,sk,0.0,0.0
2021-02-20,province,qc,0.3,0.0
2021-08-28,province,ns,0.0,0.0
2021-03-27,province,qc,0.32,0.0
2021-02-27,nation,ca,0.01,0.0
2021-03-06,province,bc,0.0,0.0
2021-08-28,territory,nt,0.0,0.0
2021-08-28,territory,nu,0.0,0.0
2021-03-06,nation,ca,0.0,0.0
2021-03-06,province,on,0.0,0.0
2021-02-27,province,qc,0.0,0.0
2021-08-28,province,qc,28.125,0.184
2021-04-03,province,qc,1.46,0.0
2021-08-21,province,qc,24.46,0.0
2021-08-28,province,pe,0.0,0.0
2021-03-06,province,qc,0.0,0.0
2021-02-27,province,on,0.08,0.0
2021-08-28,province,on,1.25,0.08
2021-04-10,nation,ca,0.11,0.01
2021-03-13,nation,ca,0.03,0.01
2021-08-21,province,on,0.43,0.0
2021-02-27,province,bc,0.0,0.0
2021-04-10,province,bc,0.0,0.0
2021-04-17,province,on,0.0,0.0
2021-03-20,nation,ca,0.07,0.0
2021-03-27,nation,ca,0.04,0.0
2021-03-20,province,qc,1.18,0.0
2021-02-06,nation,ca,0.08,0.02
2021-01-30,province,qc,0.0,0.0
2020-08-29,province,bc,0.0,0.0
2021-01-30,province,on,0.07,0.0
2021-05-01,nation,ca,0.27,0.0
2021-04-03,province,bc,0.04,0.0
2021-03-27,province,bc,0.0,0.0
2021-01-30,province,bc,0.0,0.0
2021-05-01,province,bc,0.0,0.0
2021-01-30,nation,ca,0.04,0.0
2021-05-01,province,on,0.0,0.0
2021-01-23,province,qc,0.0,0.0
2021-03-27,province,on,0.09,0.0
2021-04-03,nation,ca,0.08,0.0
2021-01-23,province,on,0.07,0.0
2021-05-01,province,qc,4.71,0.0
2021-01-23,province,bc,0.0,0.0
2021-04-24,province,qc,3.33,0.0
2021-02-06,province,bc,0.0,0.0
2021-02-06,province,on,0.07,0.14
2021-08-28,nation,ca,3.868,0.045
2021-02-13,nation,ca,0.02,0.01
2021-02-06,province,qc,0.97,0.0
2021-03-20,province,on,0.09,0.0
2021-08-28,province,ab,0.0,0.0
2021-04-24,province,bc,0.0,0.0
2021-04-24,nation,ca,0.21,0.0
2021-04-17,province,qc,2.83,0.0
2021-04-24,province,on,0.0,0.0
2021-02-13,province,bc,0.0,0.1
2021-04-03,province,on,0.0,0.0
2021-03-20,province,bc,0.0,0.0
2021-08-21,province,ab,0.0,0.173
2021-08-21,province,mb,0.0,0.0
2021-08-21,province,nb,0.0,0.0
2021-08-21,territory,nt,0.0,0.0
2021-08-21,province,nl,0.454,0.0
2021-08-21,province,ns,0.0,0.0
2021-08-21,province,sk,0.0,2.083
2021-08-21,province,pe,0.0,0.0
2021-08-21,territory,nu,0.0,0.0
2021-08-21,territory,yk,0.0,0.0
2021-08-14,province,ab,,
2021-08-14,province,ns,0.0,0.0
2021-08-14,province,nl,0.82,0.0
2021-08-14,province,nb,0.0,0.0
2021-08-14,province,mb,0.092,0.0
2021-08-14,territory,nt,,
2021-08-14,province,sk,0.0,0.0
2021-08-14,province,pe,2.222,0.0
2021-08-14,territory,yk,0.806,0.0
2021-08-14,territory,nu,,
2021-08-07,province,ab,0.0,0.0
2021-08-07,province,pe,0.0,0.0
2021-08-07,province,ns,0.0,0.0
2021-08-07,province,nl,0.725,0.0
2021-08-07,territory,yk,0.0,0.0
2021-08-07,province,mb,0.0,0.0
2021-08-07,province,sk,0.0,0.0
2021-08-07,territory,nu,0.0,0.0
2021-08-07,province,nb,0.0,0.0
2021-08-07,territory,nt,0.0,0.0
2021-07-31,province,pe,0.0,0.0
2021-07-31,province,sk,0.0,0.0
2021-07-31,province,nb,0.0,0.0
2021-07-31,province,nl,,
2021-07-31,territory,nt,0.0,0.0
2021-07-31,territory,nu,0.0,0.0
2021-07-31,province,ns,0.0,0.0
2021-07-31,territory,yk,0.0,0.0
2021-07-31,province,mb,0.0,0.0
2021-07-31,province,ab,0.0,0.0
2021-07-24,territory,yk,0.0,0.0
2021-07-24,territory,nu,0.0,0.0
2021-07-24,territory,nt,0.0,0.0
2021-07-24,province,sk,0.0,0.0
2021-07-24,province,mb,0.0,0.0
2021-07-24,province,nb,0.0,0.0
2021-07-24,province,nl,0.0,0.0
2021-07-24,province,ns,0.0,0.0
2021-07-24,province,ab,0.0,0.0
2021-07-24,province,pe,0.0,0.0
2021-07-17,province,ab,0.0,0.0
2021-07-17,territory,yk,0.0,0.0
2021-07-17,territory,nu,0.0,0.0
2021-07-17,territory,nt,0.0,0.0
2021-07-17,province,sk,0.0,0.0
2021-07-17,province,pe,0.0,0.0
2021-07-17,province,mb,0.0,0.0
2021-07-17,province,nb,0.0,0.0
2021-07-17,province,nl,0.0,0.0
2021-07-17,province,ns,0.0,0.0
2021-07-10,province,sk,0.0,0.0
2021-07-10,province,pe,0.0,0.0
2021-07-10,province,ns,0.0,0.0
2021-07-10,province,nl,0.0,0.0
2021-07-10,territory,nt,0.0,0.0
2021-07-10,territory,yk,0.0,0.0
2021-07-10,territory,nu,0.0,0.0
2021-07-10,province,nb,0.0,0.0
2021-07-10,province,ab,0.0,0.0
2021-07-10,province,mb,0.0,0.0
2021-07-03,province,ns,0.0,0.0
2021-07-03,province,nl,0.0,0.0
2021-07-03,province,nb,0.0,0.0
2021-07-03,province,mb,0.088,0.0
2021-07-03,territory,nt,0.0,0.0
2021-07-03,province,sk,0.0,0.0
2021-07-03,territory,nu,0.0,0.0
2021-07-03,territory,yk,0.0,0.0
2021-07-03,province,pe,0.0,0.0
2021-07-03,province,ab,0.0,0.0
2021-06-26,territory,nt,0.0,0.0
2021-06-26,province,ab,0.0,0.0
2021-06-26,province,sk,0.0,0.0
2021-06-26,province,mb,0.0,0.0
2021-06-26,province,pe,0.0,0.0
2021-06-26,territory,yk,0.0,0.0
2021-06-26,province,ns,0.0,0.0
2021-06-26,province,nl,0.0,0.0
2021-06-26,province,nb,0.0,0.0
2021-06-26,territory,nu,0.0,0.0
2021-06-19,province,ns,0.0,0.0
2021-06-19,province,nl,0.0,0.0
2021-06-19,province,mb,0.0,0.0
2021-06-19,province,sk,0.0,0.0
2021-06-19,territory,nt,0.0,0.0
2021-06-19,territory,nu,0.0,0.0
2021-06-19,province,pe,0.0,0.0
2021-06-19,territory,yk,0.0,0.0
2021-06-19,province,nb,0.0,0.0
2021-06-19,province,ab,,
2021-06-12,province,ab,0.0,0.0
2021-06-12,province,mb,0.0,0.061
2021-06-12,territory,nt,0.0,0.0
2021-06-12,territory,yk,0.0,0.0
2021-06-12,province,pe,0.0,0.0
2021-06-12,province,sk,0.0,0.0
2021-06-12,province,ns,0.0,0.0
2021-06-12,province,nl,0.0,0.0
2021-06-12,province,nb,0.0,0.0
2021-06-12,territory,nu,0.0,0.0
2021-06-05,province,pe,0.0,0.0
2021-06-05,province,ab,0.0,0.0
2021-06-05,province,sk,0.0,0.0
2021-06-05,territory,nt,0.0,0.0
2021-06-05,territory,nu,0.0,0.0
2021-06-05,province,nl,0.0,0.0
2021-06-05,province,ns,0.0,0.0
2021-06-05,province,mb,0.0,0.0
2021-06-05,province,nb,0.0,0.0
2021-06-05,territory,yk,0.0,0.0
2021-05-29,province,ab,0.0,0.0
2021-05-29,territory,nt,0.0,0.0
2021-05-29,province,sk,0.0,0.0
2021-05-29,province,pe,0.0,0.0
2021-05-29,territory,yk,0.0,0.0
2021-05-29,territory,nu,0.0,0.0
2021-05-29,province,nl,0.0,0.0
