time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2020-08-22,territory,yk,0.0,0.0
2020-01-04,region,prairies,4.7,31.6
2020-01-04,region,territories,0.0,8.5
2019-10-19,region,prairies,0.2,2.0
2020-05-09,region,territories,0.7,1.2
2019-09-07,province,qc,0.2,1.1
2020-01-11,nation,ca,8.6,25.2
2020-07-18,province,on,0.0,0.65
2020-06-20,province,on,0.48,0.0
2020-03-21,region,prairies,2.1,6.8
2020-01-11,province,bc,9.9,20.5
2020-07-18,province,qc,0.0,0.0
2019-10-19,region,atlantic,0.0,1.1
2020-05-16,nation,ca,0.1,0.2
2020-01-11,province,on,7.8,23.6
2020-07-18,region,atlantic,0.0,0.0
2020-03-21,region,atlantic,4.5,11.8
2020-01-11,province,qc,8.6,27.3
2019-10-19,province,qc,1.2,2.8
2019-09-21,province,qc,0.9,0.5
2020-01-11,region,atlantic,19.3,14.5
2020-01-11,region,prairies,4.7,28.7
2020-05-16,province,bc,0.0,0.0
2020-04-18,region,prairies,0.2,0.0
2020-03-21,province,qc,6.8,11.5
2019-09-07,province,on,1.2,1.6
2019-10-19,province,on,1.1,0.3
2020-01-11,region,territories,0.9,9.6
2020-05-16,province,on,0.3,1.5
2020-07-18,region,prairies,0.03,0.0
2020-01-18,nation,ca,8.6,26.5
2020-03-21,region,territories,0.7,5.3
2020-05-09,region,prairies,0.2,0.0
2019-10-19,province,bc,1.3,2.8
2019-10-19,region,territories,0.0,1.1
2020-05-09,province,bc,0.4,0.1
2020-07-11,region,prairies,0.0,0.0
2020-03-28,province,qc,4.4,2.5
2019-12-28,province,on,10.3,20.9
2020-07-11,region,territories,0.0,0.0
2020-06-20,region,atlantic,0.1,0.1
2019-12-28,province,qc,9.5,32.6
2019-10-26,province,on,1.2,0.8
2020-05-09,province,on,0.3,0.5
2020-03-28,province,on,3.0,2.2
2019-12-28,region,atlantic,19.6,11.7
2019-12-28,region,prairies,3.4,35.0
2019-12-28,region,territories,0.0,9.5
2020-06-20,province,qc,0.0,0.0
2019-10-26,province,bc,0.7,3.7
2019-09-21,province,on,0.6,0.7
2019-09-07,region,atlantic,0.0,2.2
2020-03-28,province,bc,2.0,2.0
2020-01-04,nation,ca,9.3,26.1
2020-05-09,province,qc,0.0,0.5
2020-01-04,province,bc,10.4,16.7
2020-07-18,nation,ca,0.01,0.05
2019-10-26,nation,ca,0.9,1.9
2020-07-18,province,bc,0.0,0.0
2020-05-09,region,atlantic,0.2,0.0
2020-03-28,nation,ca,2.5,2.5
2020-01-04,province,on,8.8,25.2
2020-01-04,province,qc,9.6,28.8
2020-01-04,region,atlantic,14.8,13.6
