time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2020-08-22,territory,yk,127.0,0,0,127.0,0,,,0,,0,,0,,0,0,0
2020-03-21,nation,ca,23640.0,1135,591,23405.0,702,8342.0,8316.0,116,8253.0,495,8013.0,665,5308.0,249,100,1726
2020-03-28,nation,ca,22112.0,287,265,21998.0,550,11013.0,11013.0,77,10997.0,396,10849.0,521,6489.0,195,55,553
2020-03-21,province,qc,2365.0,232,40,2135.0,145,236.0,238.0,9,204.0,12,,0,203.0,3,0,272
2019-10-12,province,qc,1112.0,23,0,1113.0,18,621.0,625.0,16,608.0,2,,0,550.0,2,9,23
2020-03-21,province,on,2652.0,66,50,2646.0,79,1189.0,1161.0,19,1178.0,79,1135.0,74,987.0,10,4,117
2020-07-18,nation,ca,6667.0,1,3,6667.0,1,5152.0,5141.0,13,5145.0,5,5043.0,209,3797.0,2,5,3
2020-03-21,province,bc,9141.0,411,219,9133.0,247,897.0,897.0,4,858.0,87,858.0,60,124.0,9,9,631
2019-10-19,nation,ca,4649.0,74,14,4571.0,37,2663.0,2651.0,64,2526.0,10,1587.0,440,1922.0,6,85,88
2020-07-25,province,qc,95.0,0,0,91.0,1,74.0,74.0,2,72.0,0,,0,72.0,0,0,0
2020-07-18,province,bc,949.0,0,0,949.0,0,162.0,162.0,0,162.0,0,155.0,6,155.0,0,0,0
2020-03-14,province,qc,4698.0,597,136,4186.0,373,587.0,591.0,8,564.0,38,,0,562.0,20,4,733
2020-03-14,province,on,2927.0,146,91,2909.0,108,1178.0,1144.0,11,1172.0,86,1098.0,87,987.0,2,4,237
2019-10-19,province,bc,620.0,16,1,620.0,8,194.0,194.0,2,194.0,2,184.0,61,184.0,0,11,17
2020-03-14,province,bc,6538.0,628,307,6538.0,268,508.0,508.0,6,508.0,36,477.0,48,187.0,17,6,935
2020-03-14,nation,ca,23784.0,2331,1023,22890.0,1099,7682.0,7652.0,107,7653.0,459,6984.0,768,5684.0,307,100,3354
2020-03-28,province,bc,8208.0,90,74,8201.0,164,1747.0,1747.0,7,1747.0,51,1704.0,87,146.0,9,10,164
2020-07-11,province,qc,66.0,0,0,67.0,0,49.0,49.0,0,48.0,0,,0,47.0,0,1,0
2019-10-12,province,on,902.0,2,0,901.0,5,595.0,575.0,5,585.0,3,84.0,23,68.0,0,11,2
2020-03-28,province,on,2429.0,27,27,2423.0,73,1829.0,1829.0,15,1813.0,111,1777.0,87,1477.0,10,4,53
