reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.25,1.6500000000000004
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.5,9.9
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.75,9.9
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.9,13.380000000000003
2025-01-04,2024-12-28,-1,ca,pct wk flu lab det,quantile,0.975,17.88974999999994
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.25,0
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.5,7.2
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.75,8.355
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.9,12.030000000000003
2025-01-04,2024-12-28,-1,atlantic,pct wk flu lab det,quantile,0.975,16.53974999999994
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.25,0
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.5,8.2
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.75,8.855
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.9,12.530000000000003
2025-01-04,2024-12-28,-1,qc,pct wk flu lab det,quantile,0.975,17.03974999999994
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.25,0.9499999999999993
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.5,9.2
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.75,9.355
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.9,13.030000000000003
2025-01-04,2024-12-28,-1,on,pct wk flu lab det,quantile,0.975,17.53974999999994
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.25,5.550000000000001
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.5,13.8
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.75,13.8
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.9,15.330000000000004
2025-01-04,2024-12-28,-1,prairies,pct wk flu lab det,quantile,0.975,19.83974999999994
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.25,4.050000000000001
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.5,12.3
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.75,12.3
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.9,14.580000000000004
2025-01-04,2024-12-28,-1,bc,pct wk flu lab det,quantile,0.975,19.08974999999994
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.025,0
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.1,0
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.25,0
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.5,7.3
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.75,8.405000000000001
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.9,12.080000000000004
2025-01-04,2024-12-28,-1,territories,pct wk flu lab det,quantile,0.975,16.58974999999994
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.025,4.658749999999998
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.1,6.488999999999997
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.25,9.915
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.5,17.302500000000002
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.75,23.752499999999998
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.9,28.50675000000001
2025-01-04,2025-01-04,0,ca,pct wk flu lab det,quantile,0.975,36.81862499999997
2025-01-04,2025-01-04,0,atlantic,pct wk flu lab det,quantile,0.025,0
2025-01-04,2025-01-04,0,atlantic,pct wk flu lab det,quantile,0.1,0.33899999999999864
2025-01-04,2025-01-04,0,atlantic,pct wk flu lab det,quantile,0.25,7.07
2025-01-04,2025-01-04,0,atlantic,pct wk flu lab det,quantile,0.5,12.690000000000001
