reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.25,2.645000000000003
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.5,11.8
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.75,11.8
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.9,12.384500000000001
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.975,16.651624999999996
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.25,0
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.5,8.5
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.75,8.5
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.9,10.7345
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.975,15.001624999999997
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.25,1.945000000000002
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.5,11.1
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.75,11.1
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.9,12.034500000000001
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.975,16.301624999999998
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.25,2.2450000000000028
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.5,11.4
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.75,11.4
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.9,12.1845
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.975,16.451624999999996
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.25,3.7450000000000028
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.5,12.9
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.75,13.5
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.9,13.5
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.975,17.201624999999996
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.25,5.945000000000002
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.5,15.1
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.75,15.8
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.9,15.8
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.975,18.301624999999998
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.25,7.245000000000001
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.5,16.4
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.75,21.1
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.9,21.1
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.975,21.1
