reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.5,4.4
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.75,8.71125
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.9,13.040000000000003
2024-12-21,2024-12-14,-1,ca,pct wk flu lab det,quantile,0.975,16.292874999999995
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.5,3.9
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.75,8.46125
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.9,12.790000000000003
2024-12-21,2024-12-14,-1,atlantic,pct wk flu lab det,quantile,0.975,16.042874999999995
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.5,2.7
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.75,7.86125
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.9,12.190000000000003
2024-12-21,2024-12-14,-1,qc,pct wk flu lab det,quantile,0.975,15.442874999999995
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.5,3
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.75,8.01125
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.9,12.340000000000003
2024-12-21,2024-12-14,-1,on,pct wk flu lab det,quantile,0.975,15.592874999999996
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.25,0.745000000000001
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.5,7.5
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.75,10.26125
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.9,14.590000000000003
2024-12-21,2024-12-14,-1,prairies,pct wk flu lab det,quantile,0.975,17.842874999999996
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.25,0.04500000000000082
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.5,6.8
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.75,9.91125
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.9,14.240000000000004
2024-12-21,2024-12-14,-1,bc,pct wk flu lab det,quantile,0.975,17.492874999999994
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.5,2
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.75,7.51125
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.9,11.840000000000003
2024-12-21,2024-12-14,-1,territories,pct wk flu lab det,quantile,0.975,15.092874999999996
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.025,2.034250000000002
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.1,3.7080000000000037
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.25,5.126250000000002
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.5,11.775
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.75,19.843125
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.9,26.099250000000005
2024-12-21,2024-12-21,0,ca,pct wk flu lab det,quantile,0.975,31.587187499999995
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.5,5.6925
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.75,13.760625000000001
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.9,20.016750000000002
2024-12-21,2024-12-21,0,atlantic,pct wk flu lab det,quantile,0.975,25.504687499999996
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.1,0.20800000000000196
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.25,2.7
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.5,9.149999999999999
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.75,17.218125
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.9,23.47425
2024-12-21,2024-12-21,0,qc,pct wk flu lab det,quantile,0.975,28.962187499999995
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.25,0
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.5,6.3075
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.75,14.375625
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.9,20.631750000000004
2024-12-21,2024-12-21,0,on,pct wk flu lab det,quantile,0.975,26.11968749999999
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.025,8.050687500000002
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.1,9.306000000000004
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.25,11.651250000000003
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.5,18.3
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.75,26.368125
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.9,32.62425
2024-12-21,2024-12-21,0,prairies,pct wk flu lab det,quantile,0.975,38.1121875
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.025,1.3342500000000008
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.1,3.0080000000000027
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.25,6.135000000000002
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.5,11.25
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.75,19.318125000000002
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.9,25.574250000000003
2024-12-21,2024-12-21,0,bc,pct wk flu lab det,quantile,0.975,31.062187499999993
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.025,9.393187500000002
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.1,10.648500000000002
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.25,12.993750000000002
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.5,19.642500000000002
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.75,27.710625000000004
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.9,33.966750000000005
2024-12-21,2024-12-21,0,territories,pct wk flu lab det,quantile,0.975,39.45468749999999
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.025,2.2170000000000005
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.1,3.668000000000001
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.25,7.245000000000001
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.5,15.57
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.75,24.104250000000004
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.9,31.061700000000005
2024-12-21,2024-12-28,1,ca,pct wk flu lab det,quantile,0.975,38.882924999999986
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.25,3.9149999999999996
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.5,12.24
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.75,20.774250000000002
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.9,27.731700000000004
2024-12-21,2024-12-28,1,atlantic,pct wk flu lab det,quantile,0.975,35.55292499999999
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.025,1.716999999999997
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.1,2.8511999999999977
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.25,6.794999999999997
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.5,15.119999999999997
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.75,23.65425
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.9,30.6117
2024-12-21,2024-12-28,1,qc,pct wk flu lab det,quantile,0.975,38.43292499999998
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.025,0
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.1,0
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.25,0.870000000000001
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.5,9.108
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.75,17.642250000000004
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.9,24.599700000000002
2024-12-21,2024-12-28,1,on,pct wk flu lab det,quantile,0.975,32.42092499999999
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.025,8.358300000000002
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.1,9.664200000000001
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.25,13.608
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.5,21.933
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.75,30.467250000000007
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.9,37.4247
2024-12-21,2024-12-28,1,prairies,pct wk flu lab det,quantile,0.975,45.24592499999999
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.025,4.007
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.1,5.458
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.25,8.856
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.5,17.181
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.75,25.71525
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.9,32.6727
2024-12-21,2024-12-28,1,bc,pct wk flu lab det,quantile,0.975,40.49392499999999
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.025,3.9977999999999985
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.1,5.303699999999999
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.25,9.247499999999999
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.5,17.572499999999998
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.75,26.10675
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.9,33.0642
2024-12-21,2024-12-28,1,territories,pct wk flu lab det,quantile,0.975,40.885424999999984
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.025,4.492000000000001
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.1,6.204000000000001
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.25,12.27
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.5,21
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.75,30.51
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.9,37.86000000000001
2024-12-21,2025-01-04,2,ca,pct wk flu lab det,quantile,0.975,46.87949999999988
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.1,0.8940000000000001
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.25,6.959999999999999
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.5,15.69
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.75,25.200000000000003
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.9,32.550000000000004
2024-12-21,2025-01-04,2,atlantic,pct wk flu lab det,quantile,0.975,41.56949999999988
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.025,1.1720000000000006
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.1,2.8840000000000003
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.25,8.95
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.5,17.68
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.75,27.19
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.9,34.540000000000006
2024-12-21,2025-01-04,2,qc,pct wk flu lab det,quantile,0.975,43.55949999999988
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.025,0
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.1,0
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.25,5.870000000000001
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.5,14.600000000000001
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.75,24.110000000000003
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.9,31.460000000000008
2024-12-21,2025-01-04,2,on,pct wk flu lab det,quantile,0.975,40.47949999999988
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.025,6.2620000000000005
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.1,7.974
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.25,14.04
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.5,22.77
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.75,32.28
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.9,39.63000000000001
2024-12-21,2025-01-04,2,prairies,pct wk flu lab det,quantile,0.975,48.649499999999875
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.025,6.8919999999999995
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.1,8.604
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.25,14.669999999999998
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.5,23.4
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.75,32.91
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.9,40.260000000000005
2024-12-21,2025-01-04,2,bc,pct wk flu lab det,quantile,0.975,49.27949999999988
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.025,0.8919999999999995
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.1,2.603999999999999
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.25,8.669999999999998
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.5,17.4
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.75,26.91
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.9,34.260000000000005
2024-12-21,2025-01-04,2,territories,pct wk flu lab det,quantile,0.975,43.27949999999988
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.025,4.424999999999997
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.1,5.969999999999999
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.25,12.989999999999998
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.5,23.07
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.75,31.669999999999998
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.9,38.009000000000015
2024-12-21,2025-01-11,3,ca,pct wk flu lab det,quantile,0.975,49.09149999999996
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.1,0
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.25,6.84
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.5,16.92
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.75,25.52
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.9,31.859000000000016
2024-12-21,2025-01-11,3,atlantic,pct wk flu lab det,quantile,0.975,42.94149999999996
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.025,0
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.1,0.9499999999999993
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.25,7.969999999999999
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.5,18.05
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.75,26.65
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.9,32.98900000000002
2024-12-21,2025-01-11,3,qc,pct wk flu lab det,quantile,0.975,44.07149999999996
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.025,0
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.1,0
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.25,6.659999999999997
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.5,16.74
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.75,25.339999999999996
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.9,31.679000000000013
2024-12-21,2025-01-11,3,on,pct wk flu lab det,quantile,0.975,42.761499999999955
2024-12-21,2025-01-11,3,prairies,pct wk flu lab det,quantile,0.025,2.0349999999999966
2024-12-21,2025-01-11,3,prairies,pct wk flu lab det,quantile,0.1,3.5799999999999983
2024-12-21,2025-01-11,3,prairies,pct wk flu lab det,quantile,0.25,10.599999999999998
2024-12-21,2025-01-11,3,prairies,pct wk flu lab det,quantile,0.5,20.68
2024-12-21,2025-01-11,3,prairies,pct wk flu lab det,quantile,0.75,29.279999999999998
