time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2014-01-25,province,pe,49.0,24,0,7.0,0,1.0,1.0,0,1.0,1,1.0,0,1.0,0,0,24,0.0,100.0,0.0,0.0,48.97959183673469,0.0,0.0,48.97959183673469,0.0
2014-01-25,province,ns,120.0,19,0,106.0,8,25.0,25.0,0,25.0,3,25.0,9,25.0,2,0,19,8.0,12.0,7.547169811320755,0.0,15.833333333333332,0.0,36.0,15.833333333333332,0.0
2014-01-25,province,nl,267.0,75,29,12.0,1,12.0,12.0,0,12.0,1,,0,,0,0,104,,8.333333333333332,8.333333333333332,0.0,38.951310861423224,0.0,,28.08988764044944,10.861423220973784
2014-01-25,province,nb,742.0,378,2,37.0,0,29.0,35.0,0,0.0,0,0.0,0,0.0,0,0,380,0.0,0.0,0.0,0.0,51.21293800539084,0.0,0.0,50.943396226415096,0.2695417789757413
2014-01-25,province,mb,429.0,103,0,101.0,0,91.0,91.0,4,51.0,2,91.0,0,51.0,4,5,103,7.8431372549019605,3.9215686274509802,0.0,5.4945054945054945,24.00932400932401,4.395604395604396,0.0,24.00932400932401,0.0
2014-01-25,province,sk,663.0,133,3,654.0,28,654.0,654.0,15,654.0,59,613.0,20,654.0,54,23,136,8.256880733944955,9.021406727828746,4.281345565749235,3.5168195718654434,20.51282051282051,2.293577981651376,3.262642740619902,20.060331825037707,0.4524886877828055
2014-01-18,province,ab,1675.0,469,9,1675.0,68,1675.0,1675.0,5,1675.0,64,1675.0,71,1675.0,53,54,478,3.164179104477612,3.8208955223880596,4.059701492537314,3.2238805970149254,28.53731343283582,0.2985074626865672,4.2388059701492535,28.000000000000004,0.5373134328358209
2014-01-18,province,sk,871.0,225,0,805.0,17,805.0,805.0,16,805.0,52,741.0,30,805.0,59,51,225,7.329192546583851,6.459627329192546,2.111801242236025,6.3354037267080745,25.83237657864523,1.9875776397515528,4.048582995951417,25.83237657864523,0.0
2014-01-18,province,mb,626.0,124,4,204.0,5,206.0,206.0,5,64.0,8,206.0,2,64.0,9,6,128,14.0625,12.5,2.450980392156863,2.912621359223301,20.447284345047922,2.4271844660194173,0.9708737864077669,19.808306709265175,0.6389776357827476
2014-01-18,province,pe,33.0,18,0,4.0,0,2.0,2.0,0,2.0,0,2.0,0,2.0,0,0,18,0.0,0.0,0.0,0.0,54.54545454545454,0.0,0.0,54.54545454545454,0.0
2014-01-18,province,nl,201.0,48,27,207.0,0,207.0,207.0,0,207.0,0,,0,,0,2,75,,0.0,0.0,0.966183574879227,37.3134328358209,0.0,,23.88059701492537,13.432835820895523
2014-01-18,province,nb,693.0,310,0,53.0,3,47.0,47.0,0,0.0,0,0.0,0,0.0,0,0,310,0.0,0.0,5.660377358490567,0.0,44.733044733044736,0.0,0.0,44.733044733044736,0.0
2014-01-18,province,ns,120.0,14,0,104.0,8,19.0,19.0,0,19.0,0,19.0,3,19.0,2,0,14,10.526315789473683,0.0,7.6923076923076925,0.0,11.666666666666666,0.0,15.789473684210526,11.666666666666666,0.0
2014-01-11,province,sk,1030.0,360,1,1030.0,19,1030.0,1030.0,16,1030.0,67,812.0,36,1030.0,62,50,361,6.019417475728155,6.5048543689320395,1.8446601941747571,4.854368932038835,35.04854368932039,1.5533980582524272,4.433497536945813,34.95145631067961,0.0970873786407767
2014-01-11,province,pe,27.0,0,0,1.0,0,1.0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-11,province,mb,605.0,63,3,292.0,6,329.0,329.0,6,33.0,1,329.0,1,33.0,0,4,66,0.0,3.0303030303030303,2.054794520547945,1.21580547112462,10.909090909090908,1.82370820668693,0.303951367781155,10.413223140495868,0.49586776859504134
2014-01-11,province,nb,465.0,194,1,58.0,0,57.0,58.0,1,0.0,0,0.0,0,0.0,0,0,195,0.0,0.0,0.0,0.0,41.935483870967744,1.7241379310344827,0.0,41.72043010752688,0.21505376344086022
2014-01-11,province,nl,185.0,44,20,139.0,0,139.0,139.0,0,139.0,0,,0,,0,1,64,,0.0,0.0,0.7194244604316548,34.5945945945946,0.0,,23.783783783783786,10.81081081081081
2014-01-11,province,ns,96.0,13,0,91.0,1,90.0,90.0,0,90.0,2,90.0,2,90.0,0,2,13,0.0,2.2222222222222223,1.098901098901099,2.2222222222222223,13.541666666666666,0.0,2.2222222222222223,13.541666666666666,0.0
2014-01-11,province,ab,2328.0,800,4,2328.0,76,2328.0,2328.0,16,2328.0,67,2328.0,98,2328.0,50,66,804,2.147766323024055,2.8780068728522337,3.264604810996564,2.8350515463917527,34.5360824742268,0.6872852233676976,4.209621993127148,34.36426116838488,0.1718213058419244
2014-01-04,province,mb,278.0,29,0,141.0,4,156.0,156.0,1,32.0,3,156.0,3,32.0,1,4,29,3.125,9.375,2.8368794326241136,2.564102564102564,10.431654676258994,0.641025641025641,1.9230769230769231,10.431654676258994,0.0
2014-01-04,province,nb,110.0,29,0,14.0,0,14.0,15.0,0,0.0,0,0.0,0,0.0,0,0,29,0.0,0.0,0.0,0.0,26.36363636363636,0.0,0.0,26.36363636363636,0.0
2014-01-04,province,nl,65.0,23,2,50.0,2,50.0,50.0,0,50.0,0,,0,,0,4,25,,0.0,4.0,8.0,38.46153846153847,0.0,,35.38461538461539,3.076923076923077
2014-01-04,province,ns,78.0,9,0,81.0,5,60.0,60.0,0,60.0,3,60.0,6,60.0,1,9,9,1.6666666666666667,5.0,6.172839506172839,15.0,11.538461538461538,0.0,10.0,11.538461538461538,0.0
2014-01-04,province,pe,15.0,0,0,3.0,1,2.0,2.0,0,2.0,0,2.0,1,2.0,0,0,0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,50.0,0.0,0.0
2014-01-04,province,ab,1732.0,630,0,1732.0,84,1732.0,1732.0,6,1732.0,63,1732.0,68,1732.0,51,46,630,2.9445727482678983,3.6374133949191685,4.849884526558892,2.655889145496536,36.37413394919168,0.3464203233256351,3.9260969976905313,36.37413394919168,0.0
2014-01-04,province,sk,489.0,198,0,489.0,2,489.0,489.0,12,489.0,25,378.0,22,489.0,29,32,198,5.930470347648262,5.112474437627812,0.408997955010225,6.5439672801636,40.49079754601227,2.4539877300613497,5.82010582010582,40.49079754601227,0.0
2013-12-28,province,sk,306.0,84,0,306.0,4,306.0,306.0,64,306.0,14,227.0,18,306.0,11,22,84,3.594771241830065,4.57516339869281,1.3071895424836601,7.18954248366013,27.450980392156865,20.915032679738562,7.929515418502203,27.450980392156865,0.0
2013-12-28,province,ab,1047.0,369,0,1047.0,50,1047.0,1047.0,4,1047.0,21,1047.0,63,1047.0,19,24,369,1.8147086914995225,2.005730659025788,4.775549188156638,2.292263610315186,35.24355300859599,0.38204393505253104,6.017191977077363,35.24355300859599,0.0
2013-12-28,province,mb,160.0,10,0,88.0,3,83.0,83.0,1,20.0,1,83.0,1,20.0,1,1,10,5.0,5.0,3.4090909090909087,1.2048192771084338,6.25,1.2048192771084338,1.2048192771084338,6.25,0.0
2013-12-28,province,nb,60.0,10,0,24.0,0,23.0,24.0,1,0.0,0,0.0,0,0.0,0,1,10,0.0,0.0,0.0,4.3478260869565215,16.666666666666664,4.166666666666666,0.0,16.666666666666664,0.0
2013-12-28,province,nl,35.0,6,2,46.0,0,46.0,46.0,0,46.0,0,,0,,0,1,8,,0.0,0.0,2.1739130434782608,22.857142857142858,0.0,,17.142857142857142,5.714285714285714
2013-12-28,province,ns,24.0,4,0,19.0,0,10.0,10.0,0,10.0,0,10.0,1,10.0,0,0,4,0.0,0.0,0.0,0.0,16.666666666666664,0.0,10.0,16.666666666666664,0.0
2013-12-28,province,pe,11.0,0,0,3.0,0,2.0,2.0,0,2.0,0,2.0,1,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2013-12-14,province,nb,68.0,0,0,28.0,0,26.0,26.0,1,0.0,0,0.0,0,0.0,0,1,0,0.0,0.0,0.0,3.8461538461538463,0.0,3.8461538461538463,0.0,0.0,0.0
2013-12-14,province,ab,557.0,95,3,557.0,26,557.0,557.0,10,557.0,14,557.0,61,557.0,6,51,98,1.0771992818671454,2.5134649910233393,4.66786355475763,9.156193895870736,17.594254937163374,1.7953321364452424,10.951526032315979,17.0556552962298,0.5385996409335727
2013-12-14,province,mb,103.0,3,0,61.0,1,60.0,60.0,0,17.0,1,60.0,3,17.0,0,2,3,0.0,5.88235294117647,1.639344262295082,3.3333333333333335,2.912621359223301,0.0,5.0,2.912621359223301,0.0
2013-12-14,province,nl,31.0,2,0,34.0,0,34.0,34.0,0,34.0,0,,0,,0,0,2,,0.0,0.0,0.0,6.451612903225806,0.0,,6.451612903225806,0.0
2013-12-14,province,sk,168.0,19,0,168.0,1,168.0,168.0,9,168.0,4,160.0,16,168.0,2,28,19,1.1904761904761905,2.380952380952381,0.5952380952380952,16.666666666666664,11.30952380952381,5.357142857142857,10.0,11.30952380952381,0.0
2013-12-14,province,ns,37.0,1,0,43.0,1,35.0,35.0,0,35.0,0,35.0,1,35.0,0,6,1,0.0,0.0,2.3255813953488373,17.142857142857142,2.7027027027027026,0.0,2.857142857142857,2.7027027027027026,0.0
2013-12-14,province,pe,6.0,0,0,6.0,0,5.0,5.0,0,5.0,0,5.0,2,5.0,0,1,0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0
2013-12-07,province,ab,486.0,60,1,486.0,12,486.0,486.0,6,486.0,7,486.0,79,486.0,3,38,61,0.6172839506172839,1.440329218106996,2.4691358024691357,7.818930041152264,12.551440329218108,1.2345679012345678,16.255144032921812,12.345679012345679,0.205761316872428
2013-12-07,province,sk,166.0,10,0,166.0,3,166.0,166.0,8,166.0,7,679.0,16,166.0,2,21,10,1.2048192771084338,4.216867469879518,1.8072289156626504,12.650602409638553,6.024096385542169,4.819277108433735,2.3564064801178204,6.024096385542169,0.0
