time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests
2024-09-07,province,ab,3290.0,393,1021.0,5,5,0,898.0,1,898.0,896.0,7,845.0,0,887.0,100,898.0,2,8
2024-09-07,province,bc,2807.0,535,2683.0,41,41,0,2709.0,2,715.0,715.0,9,715.0,4,712.0,86,712.0,0,12
2024-09-07,province,mb,1136.0,215,414.0,1,1,0,414.0,0,78.0,78.0,2,97.0,0,78.0,25,97.0,0,6
2024-09-07,province,nb,1064.0,176,648.0,0,0,0,648.0,0,105.0,105.0,3,105.0,0,105.0,16,105.0,1,0
2024-09-07,province,nl,511.0,74,417.0,0,0,0,417.0,0,417.0,417.0,4,417.0,2,417.0,46,417.0,1,7
2024-09-07,province,ns,1205.0,228,,0,0,0,,0,,,0,,0,,0,,0,0
2024-08-31,province,qc,9440.0,2147,6044.0,9,7,2,5098.0,57,1456.0,1473.0,21,1448.0,11,1523.0,184,1400.0,16,26
2024-08-31,province,ab,3141.0,320,936.0,8,8,0,849.0,1,849.0,849.0,9,788.0,1,843.0,119,849.0,3,9
2024-08-31,province,bc,2571.0,484,2517.0,35,34,1,2517.0,12,621.0,621.0,2,621.0,9,617.0,55,617.0,1,9
2024-08-31,province,mb,1095.0,188,321.0,0,0,0,321.0,1,43.0,43.0,1,83.0,0,43.0,11,83.0,0,3
2024-08-31,province,nb,1073.0,180,645.0,0,0,0,645.0,1,99.0,99.0,1,99.0,0,99.0,12,99.0,1,0
2024-08-31,province,nl,523.0,69,413.0,0,0,0,413.0,0,413.0,413.0,9,413.0,1,413.0,28,413.0,2,6
2024-08-31,province,ns,1198.0,247,1143.0,2,1,1,1047.0,0,44.0,44.0,0,44.0,0,44.0,10,44.0,0,0
2024-08-31,province,on,6459.0,995,5205.0,20,18,2,5205.0,13,3723.0,3723.0,14,3747.0,7,3747.0,254,2406.0,8,57
2024-08-31,province,pe,139.0,22,41.0,0,0,0,41.0,1,20.0,20.0,0,20.0,0,20.0,7,20.0,0,2
2024-09-07,province,on,5813.0,956,4929.0,9,9,0,4932.0,13,3532.0,3531.0,15,3556.0,9,3557.0,225,2298.0,9,68
2024-09-14,province,mb,1118.0,183,,0,0,0,,0,,,0,,0,,0,,0,0
2024-09-14,province,nb,1158.0,198,,0,0,0,,0,,,0,,0,,0,,0,0
2024-09-14,province,nl,566.0,89,478.0,0,0,0,478.0,0,478.0,478.0,6,478.0,1,478.0,74,478.0,0,8
2024-09-14,province,ns,1331.0,239,1258.0,1,1,0,1171.0,1,54.0,54.0,2,54.0,0,54.0,14,64.0,0,0
2024-09-14,province,on,7089.0,1298,5653.0,19,19,0,5654.0,25,4132.0,4132.0,17,4155.0,6,4155.0,420,2762.0,10,52
2024-09-14,province,pe,130.0,16,42.0,0,0,0,42.0,0,16.0,16.0,1,16.0,0,16.0,7,16.0,1,0
2024-09-14,province,qc,11088.0,2496,6977.0,11,8,3,5761.0,75,1587.0,1601.0,17,1579.0,1,1650.0,250,1534.0,23,23
